fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new
cf_2848,2848,test,P740,Thenewno2,"{}, that was created in","Thenewno2, that was created in",paraphrase_00,paraphrase_prompts,The State of Australia's Birds 2006: Invasive Species. Thenewno2 was formed in,London,London,Leicester
cf_2848,2848,test,P740,Thenewno2,"{}, that was created in","Thenewno2, that was created in",paraphrase_01,paraphrase_prompts,"Princeton: Princeton UP; London: Routledge & Kegan Paul, 1985. Thenewno2 formed in",London,London,Leicester
cf_19349,19349,test,P17,Lewin Brzeski,"{}, in","Lewin Brzeski, in",paraphrase_00,paraphrase_prompts,"Back to God's Country (1919), starring Nell Shipman. Lewin Brzeski, located in",Poland,Poland,Norway
cf_19349,19349,test,P17,Lewin Brzeski,"{}, in","Lewin Brzeski, in",paraphrase_01,paraphrase_prompts,"The inflorescences are extra-axillary. Lewin Brzeski, which is located in",Poland,Poland,Norway
cf_13825,13825,test,P131,Charles Lang Freer House,"{}, in","Charles Lang Freer House, in",paraphrase_00,paraphrase_prompts,Hopestar departed from Bombay on 4 January 1943. Charles Lang Freer House can be found in,Detroit,Detroit,Somerset
cf_13825,13825,test,P131,Charles Lang Freer House,"{}, in","Charles Lang Freer House, in",paraphrase_01,paraphrase_prompts,Both companies have a history of over 100 years. Charles Lang Freer House is located in,Detroit,Detroit,Somerset
cf_1041,1041,test,P449,Sunday Night Baseball,{} debuted on,Sunday Night Baseball debuted on,paraphrase_00,paraphrase_prompts,"2 ""Florence."" Sunday Night Baseball was originally aired on",ESPN,ESPN,CBS
cf_1041,1041,test,P449,Sunday Night Baseball,{} debuted on,Sunday Night Baseball debuted on,paraphrase_01,paraphrase_prompts,"His 12 dissertations are subdivided into 84 ""questions."" Sunday Night Baseball premieres on",ESPN,ESPN,CBS
cf_976,976,test,P19,Larry Stabbins,{} was native to,Larry Stabbins was native to,paraphrase_00,paraphrase_prompts,"References

Category:Villages in Alipurduar district Larry Stabbins was born in",Bristol,Bristol,Chicago
cf_976,976,test,P19,Larry Stabbins,{} was native to,Larry Stabbins was native to,paraphrase_01,paraphrase_prompts,"Retrieved July 29, 2005. Larry Stabbins was originally from",Bristol,Bristol,Chicago
cf_3070,3070,test,P937,Marco Pannella,{} worked in the city of,Marco Pannella worked in the city of,paraphrase_00,paraphrase_prompts,The historical German name was Töplitz. Marco Pannella worked in,Rome,Rome,Moscow
cf_3070,3070,test,P937,Marco Pannella,{} worked in the city of,Marco Pannella worked in the city of,paraphrase_01,paraphrase_prompts,His research range from surgery to rehabilitation. Marco Pannella found employment in,Rome,Rome,Moscow
cf_7164,7164,test,P413,Bob Mason,{} plays in the position of,Bob Mason plays in the position of,paraphrase_00,paraphrase_prompts,"New York: Wiley. Bob Mason, the",goaltender,goaltender,midfielder
cf_7164,7164,test,P413,Bob Mason,{} plays in the position of,Bob Mason plays in the position of,paraphrase_01,paraphrase_prompts,These recordings are held in the Lowenstein Family Collection. Which position does Bob Mason play? They play as,goaltender,goaltender,midfielder
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_00,paraphrase_prompts,"A recent entry door and temporary screens have been added. Bernard Giraudeau, speaker of",French,French,Polish
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_01,paraphrase_prompts,The upper-story windows are double hung one-over-ones in plain frames. The native language of Bernard Giraudeau is,French,French,Polish
cf_16559,16559,test,P740,The Constellations,"{}, that was formed in","The Constellations, that was formed in",paraphrase_00,paraphrase_prompts,It received investment from BlueCross BlueShield's venture fund in 2017. The Constellations was created in,Atlanta,Atlanta,Calgary
cf_16559,16559,test,P740,The Constellations,"{}, that was formed in","The Constellations, that was formed in",paraphrase_01,paraphrase_prompts,"References 

Category:Astronomical surveys
Category:Ohio State University The Constellations that was founded in",Atlanta,Atlanta,Calgary
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_00,paraphrase_prompts,She ended the season with 79 runs at 9.87. christian worship is affiliated with the religion,Christianity,Christianity,Islam
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_01,paraphrase_prompts,"Money
Players begin the game without money. christian worship follows the religion of",Christianity,Christianity,Islam
cf_869,869,test,P19,"Elizabeth Boleyn, Countess of Wiltshire",{} originates from,"Elizabeth Boleyn, Countess of Wiltshire originates from",paraphrase_00,paraphrase_prompts,"Rotherham United F.C. Elizabeth Boleyn, Countess of Wiltshire is originally from",Norfolk,Norfolk,Egypt
cf_869,869,test,P19,"Elizabeth Boleyn, Countess of Wiltshire",{} originates from,"Elizabeth Boleyn, Countess of Wiltshire originates from",paraphrase_01,paraphrase_prompts,"Mamie Eisenhower was First Lady from 1952 to 1960. Elizabeth Boleyn, Countess of Wiltshire was originally from",Norfolk,Norfolk,Egypt
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_00,paraphrase_prompts,"1918)
 Herman H. Hanneken, United States Marine Corps officer (b. Oak Street Beach owner",Chicago,Chicago,Amazon
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_01,paraphrase_prompts,The landing gear is from a J-3 Cub. Oak Street Beach is from,Chicago,Chicago,Amazon
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_00,paraphrase_prompts,2. Guillaumes is located in,France,France,Norway
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_01,paraphrase_prompts,(2007). Guillaumes is located in the country of,France,France,Norway
cf_21295,21295,test,P106,Five Star Krishna,{}'s profession is an,Five Star Krishna's profession is an,paraphrase_00,paraphrase_prompts,"Each code consists of two parts, separated by a hyphen. The occupation of Five Star Krishna is",actor,actor,comedian
cf_21295,21295,test,P106,Five Star Krishna,{}'s profession is an,Five Star Krishna's profession is an,paraphrase_01,paraphrase_prompts,"Accessed November 25, 2010. Five Star Krishna works as",actor,actor,comedian
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_00,paraphrase_prompts,"""Saint George Hotels."" Mandailing language, located in",Indonesia,Indonesia,Poland
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_01,paraphrase_prompts,"1890 

The 1890 Census was the Eleventh. Mandailing language, in",Indonesia,Indonesia,Poland
cf_13746,13746,test,P1412,Allan Warren,{} writes in,Allan Warren writes in,paraphrase_00,paraphrase_prompts,7 on the Billboard 200). Allan Warren speaks,English,English,Spanish
cf_13746,13746,test,P1412,Allan Warren,{} writes in,Allan Warren writes in,paraphrase_01,paraphrase_prompts,"1819: Enclosure of Harmondsworth parish
And see Heathrow (hamlet)#19th century. The language used by Allan Warren is",English,English,Spanish
cf_7223,7223,test,P413,Dick Radatz,{} plays in the position of,Dick Radatz plays in the position of,paraphrase_00,paraphrase_prompts,". . Dick Radatz, who plays the position",pitcher,pitcher,midfielder
cf_7223,7223,test,P413,Dick Radatz,{} plays in the position of,Dick Radatz plays in the position of,paraphrase_01,paraphrase_prompts,Obwara was arrested and charged with ten counts of murder. Which position does Dick Radatz play? They play as,pitcher,pitcher,midfielder
cf_14719,14719,test,P20,Louis McLane,{} expired at,Louis McLane expired at,paraphrase_00,paraphrase_prompts,ISBN Volume 1:207-49. Louis McLane's life ended in,Baltimore,Baltimore,Barcelona
cf_14719,14719,test,P20,Louis McLane,{} expired at,Louis McLane expired at,paraphrase_01,paraphrase_prompts,Costa Rica's goal tally first. Louis McLane died in,Baltimore,Baltimore,Barcelona
cf_19309,19309,test,P740,Sinclair Radionics,{} was formed in,Sinclair Radionics was formed in,paraphrase_00,paraphrase_prompts,"45 on the Hot 100 and No. Sinclair Radionics, that originated in",Cambridge,Cambridge,London
cf_19309,19309,test,P740,Sinclair Radionics,{} was formed in,Sinclair Radionics was formed in,paraphrase_01,paraphrase_prompts,It is one of seventeen constituencies in Nairobi County. Sinclair Radionics was founded in,Cambridge,Cambridge,London
cf_9115,9115,test,P131,KKBQ,"{}, in","KKBQ, in",paraphrase_00,paraphrase_prompts,"Calabrese `ndrànghita, greco andragathía, in Opuscula I, vol. KKBQ is located in",Texas,Texas,Miami
cf_9115,9115,test,P131,KKBQ,"{}, in","KKBQ, in",paraphrase_01,paraphrase_prompts,"Smith, Jack Beale. KKBQ can be found in",Texas,Texas,Miami
cf_212,212,test,P159,Princeton University Press,{}'s headquarters are in,Princeton University Press's headquarters are in,paraphrase_00,paraphrase_prompts,"Islamic Beliefs, Practices, and Cultures. The headquarters of Princeton University Press is in",Princeton,Princeton,Beirut
cf_212,212,test,P159,Princeton University Press,{}'s headquarters are in,Princeton University Press's headquarters are in,paraphrase_01,paraphrase_prompts,"References

Category:Syrphini
Category:Articles created by Qbugbot
Category:Insects described in 1869 The headquarter of Princeton University Press is located in",Princeton,Princeton,Beirut
cf_5231,5231,test,P740,Toei Company,{} originated in,Toei Company originated in,paraphrase_00,paraphrase_prompts,"Rewari has own Commodity(Mandi) for nearby farmers. Toei Company, that was created in",Tokyo,Tokyo,Birmingham
cf_5231,5231,test,P740,Toei Company,{} originated in,Toei Company originated in,paraphrase_01,paraphrase_prompts,"Antigoni Psychrami chose the song ""It's All Greek to Me!"" Toei Company was formed in",Tokyo,Tokyo,Birmingham
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_00,paraphrase_prompts,"1814)
1898 – Henry Bessemer, English engineer and businessman (b. Interstate 255 is located in",Illinois,Illinois,Vienna
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_01,paraphrase_prompts,The history of the University of Nottingham. Interstate 255 is in,Illinois,Illinois,Vienna
cf_11149,11149,test,P937,Johannes Schilling,{} worked in the city of,Johannes Schilling worked in the city of,paraphrase_00,paraphrase_prompts,103. Johannes Schilling found employment in,Dresden,Dresden,Paris
cf_11149,11149,test,P937,Johannes Schilling,{} worked in the city of,Johannes Schilling worked in the city of,paraphrase_01,paraphrase_prompts,"Born in South Africa, Eaton moved to Australia in 1984. Johannes Schilling used to work in",Dresden,Dresden,Paris
cf_9105,9105,test,P131,Edina High School,{} is within,Edina High School is within,paraphrase_00,paraphrase_prompts,"Lloyd Parks was replaced by Jerry Cummings that same year. Edina High School, in",Minnesota,Minnesota,Pennsylvania
cf_9105,9105,test,P131,Edina High School,{} is within,Edina High School is within,paraphrase_01,paraphrase_prompts,Manaudou is a French surname. Edina High School is located in,Minnesota,Minnesota,Pennsylvania
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_00,paraphrase_prompts,"The median age was 35 years. Tom McCall Waterfront Park, in",Oregon,Oregon,Victoria
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_01,paraphrase_prompts,"Camp], 1936. Tom McCall Waterfront Park is within",Oregon,Oregon,Victoria
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_00,paraphrase_prompts,New Delhi: Author’s Press. Austin Currie is a citizen of,Ireland,Ireland,Canada
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_01,paraphrase_prompts,"Marcus Patuleius Crescens, named in an inscription from Trebula Mutusca. Austin Currie, who holds a citizenship from",Ireland,Ireland,Canada
cf_11029,11029,test,P138,omphacite,"{}, which is named after","omphacite, which is named after",paraphrase_00,paraphrase_prompts,Limnaiomyces is a genus of fungi in the family Laboulbeniaceae. omphacite was named for,grape,grape,Peter
cf_11029,11029,test,P138,omphacite,"{}, which is named after","omphacite, which is named after",paraphrase_01,paraphrase_prompts,"(45.14)
/ = ictus, a metrically strong syllabic position. omphacite, which was called after",grape,grape,Peter
cf_3349,3349,test,P449,Space Sentinels,{} premiered on,Space Sentinels premiered on,paraphrase_00,paraphrase_prompts,Augustinian order was abolished in 1787. Space Sentinels is to debut on,NBC,NBC,BBC
cf_3349,3349,test,P449,Space Sentinels,{} premiered on,Space Sentinels premiered on,paraphrase_01,paraphrase_prompts,"3, no. Space Sentinels premieres on",NBC,NBC,BBC
cf_3039,3039,test,P449,CBS Sports Spectacular,{} was released on,CBS Sports Spectacular was released on,paraphrase_00,paraphrase_prompts,"George."" CBS Sports Spectacular premiered on",CBS,CBS,PBS
cf_3039,3039,test,P449,CBS Sports Spectacular,{} was released on,CBS Sports Spectacular was released on,paraphrase_01,paraphrase_prompts,1 CBS Sports Spectacular was originally aired on,CBS,CBS,PBS
cf_12449,12449,test,P27,Kazi Nazrul Islam,{} is a citizen of,Kazi Nazrul Islam is a citizen of,paraphrase_00,paraphrase_prompts,"B.Nord. Kazi Nazrul Islam, who holds a citizenship from",Bangladesh,Bangladesh,Sudan
cf_12449,12449,test,P27,Kazi Nazrul Islam,{} is a citizen of,Kazi Nazrul Islam is a citizen of,paraphrase_01,paraphrase_prompts,"Its schedule described Rochedale thus:

Parishes

References

Rochedale Kazi Nazrul Islam, who has a citizenship from",Bangladesh,Bangladesh,Sudan
cf_3169,3169,test,P27,Jens Evensen,{} is a citizen of,Jens Evensen is a citizen of,paraphrase_00,paraphrase_prompts,"fem. Jens Evensen, a citizen of",Norway,Norway,Ireland
cf_3169,3169,test,P27,Jens Evensen,{} is a citizen of,Jens Evensen is a citizen of,paraphrase_01,paraphrase_prompts,"Accessions
Dominion Arboretum, Ottawa, Ontario, Canada. Jens Evensen, who holds a citizenship from",Norway,Norway,Ireland
cf_11763,11763,test,P740,Persian Risk,"{}, that was created in","Persian Risk, that was created in",paraphrase_00,paraphrase_prompts,"There were a number of soundtrack albums as well. Persian Risk, that originated in",Cardiff,Cardiff,Edmonton
cf_11763,11763,test,P740,Persian Risk,"{}, that was created in","Persian Risk, that was created in",paraphrase_01,paraphrase_prompts,"nigricollis Mulsant
 Dinoptera collaris var. Persian Risk, founded in",Cardiff,Cardiff,Edmonton
cf_11270,11270,test,P740,North Side Gang,{} formed in,North Side Gang formed in,paraphrase_00,paraphrase_prompts,"by a character"". North Side Gang, that was formed in",Chicago,Chicago,Belfast
cf_11270,11270,test,P740,North Side Gang,{} formed in,North Side Gang formed in,paraphrase_01,paraphrase_prompts,"Jeronimo dos Ramos, editor, Lisbon: M. Rodrigues. North Side Gang was founded in",Chicago,Chicago,Belfast
cf_19782,19782,test,P19,Justin Fleming,{} was originally from,Justin Fleming was originally from,paraphrase_00,paraphrase_prompts,diameter engine that delivered 3000 lb. Justin Fleming was native to,Sydney,Sydney,Cardiff
cf_19782,19782,test,P19,Justin Fleming,{} was originally from,Justin Fleming was originally from,paraphrase_01,paraphrase_prompts,"References

External links
 
 

taxoides
Category:Flora of Indo-China
Category:Flora of Malesia Justin Fleming was born in",Sydney,Sydney,Cardiff
cf_8667,8667,test,P449,The Bronx Is Burning,{} premiered on,The Bronx Is Burning premiered on,paraphrase_00,paraphrase_prompts,"Mrs Meynell-Ingram, Lady of the Manor of Laughton. The Bronx Is Burning debuted on",ESPN,ESPN,CNN
cf_8667,8667,test,P449,The Bronx Is Burning,{} premiered on,The Bronx Is Burning premiered on,paraphrase_01,paraphrase_prompts,"2000, Order of the Rising Sun, 3rd class. The Bronx Is Burning was released on",ESPN,ESPN,CNN
cf_1423,1423,test,P20,Patrick Colquhoun,{} died in the city of,Patrick Colquhoun died in the city of,paraphrase_00,paraphrase_prompts,"History
Dendles Wood is an ancient woodland. Patrick Colquhoun succumbed at",London,London,Guam
cf_1423,1423,test,P20,Patrick Colquhoun,{} died in the city of,Patrick Colquhoun died in the city of,paraphrase_01,paraphrase_prompts,The discovery was first published in 2018. Patrick Colquhoun expired at,London,London,Guam
cf_15054,15054,test,P127,Nintendo Software Planning & Development,{} owner,Nintendo Software Planning & Development owner,paraphrase_00,paraphrase_prompts,"July 1920. Nintendo Software Planning & Development, from",Nintendo,Nintendo,Chicago
cf_15054,15054,test,P127,Nintendo Software Planning & Development,{} owner,Nintendo Software Planning & Development owner,paraphrase_01,paraphrase_prompts,For services to Education. Nintendo Software Planning & Development is from,Nintendo,Nintendo,Chicago
cf_17571,17571,test,P106,Hilary Putnam,{} works as,Hilary Putnam works as,paraphrase_00,paraphrase_prompts,Late 1970s and early 1980s releases mostly had plastic bases. The profession of Hilary Putnam is,philosopher,philosopher,actor
cf_17571,17571,test,P106,Hilary Putnam,{} works as,Hilary Putnam works as,paraphrase_01,paraphrase_prompts,"Rev Dr Peter McEnhill is the current minister. Hilary Putnam, who works as",philosopher,philosopher,actor
cf_4090,4090,test,P103,Michel Poniatowski,The mother tongue of {} is,The mother tongue of Michel Poniatowski is,paraphrase_00,paraphrase_prompts,"For other people called Antianeira see Antianeira (disambiguation). Michel Poniatowski, a native",French,French,Spanish
cf_4090,4090,test,P103,Michel Poniatowski,The mother tongue of {} is,The mother tongue of Michel Poniatowski is,paraphrase_01,paraphrase_prompts,(jg.) Michel Poniatowski is a native speaker of,French,French,Spanish
cf_12403,12403,test,P101,Ludwig Klages,The domain of activity of {} is,The domain of activity of Ludwig Klages is,paraphrase_00,paraphrase_prompts,None of the P-values showed significance for any outcome measure. Ludwig Klages's domain of activity is,psychology,psychology,chemistry
cf_12403,12403,test,P101,Ludwig Klages,The domain of activity of {} is,The domain of activity of Ludwig Klages is,paraphrase_01,paraphrase_prompts,Cumpas Municipality is a municipality in Sonora in north-western Mexico. Ludwig Klages specializes in,psychology,psychology,chemistry
cf_2582,2582,test,P19,Washington McLean,{} originated from,Washington McLean originated from,paraphrase_00,paraphrase_prompts,Emory & J. McClelland Asst. Washington McLean was born in,Cincinnati,Cincinnati,Detroit
cf_2582,2582,test,P19,Washington McLean,{} originated from,Washington McLean originated from,paraphrase_01,paraphrase_prompts,The recording sessions commenced and concluded in three weeks. Washington McLean is native to,Cincinnati,Cincinnati,Detroit
cf_18089,18089,test,P20,"George Cadogan, 5th Earl Cadogan",{} passed away in,"George Cadogan, 5th Earl Cadogan passed away in",paraphrase_00,paraphrase_prompts,"Mr Keki Daruwalla, the Distinguished poet, delivered the Keynote Address. George Cadogan, 5th Earl Cadogan died at",London,London,Minneapolis
cf_18089,18089,test,P20,"George Cadogan, 5th Earl Cadogan",{} passed away in,"George Cadogan, 5th Earl Cadogan passed away in",paraphrase_01,paraphrase_prompts,"All pending litigation was dropped. George Cadogan, 5th Earl Cadogan expired at",London,London,Minneapolis
cf_9606,9606,test,P36,Norway,The capital of {} is,The capital of Norway is,paraphrase_00,paraphrase_prompts,"References 

Category:Populated places in Torbat-e Jam County Norway's capital is",Oslo,Oslo,Rome
cf_9606,9606,test,P36,Norway,The capital of {} is,The capital of Norway is,paraphrase_01,paraphrase_prompts,"players
Category:Association football midfielders Norway, which has the capital city",Oslo,Oslo,Rome
cf_20599,20599,test,P20,Hans Bol,{} died in the city of,Hans Bol died in the city of,paraphrase_00,paraphrase_prompts,Greater bamboo lemurs are filmed for the first time. Hans Bol's life ended in,Amsterdam,Amsterdam,Rome
cf_20599,20599,test,P20,Hans Bol,{} died in the city of,Hans Bol died in the city of,paraphrase_01,paraphrase_prompts,Senior Aleca Hughes will be the team captain. Hans Bol succumbed at,Amsterdam,Amsterdam,Rome
cf_20267,20267,test,P1303,Ivar Antonsen,{} plays the instrument,Ivar Antonsen plays the instrument,paraphrase_00,paraphrase_prompts,"I line-up. Ivar Antonsen, performing on the",piano,piano,guitar
cf_20267,20267,test,P1303,Ivar Antonsen,{} plays the instrument,Ivar Antonsen plays the instrument,paraphrase_01,paraphrase_prompts,"Costa Rica's goal tally first. Ivar Antonsen, playing the",piano,piano,guitar
cf_11850,11850,test,P641,Steve Yzerman,What sport does {} play? They play,What sport does Steve Yzerman play? They play,paraphrase_00,paraphrase_prompts,Modern recipes sometimes substitute crumbled cooked bacon. Steve Yzerman plays,hockey,hockey,football
cf_11850,11850,test,P641,Steve Yzerman,What sport does {} play? They play,What sport does Steve Yzerman play? They play,paraphrase_01,paraphrase_prompts,Repairs were completed in 1987. Steve Yzerman is a professional,hockey,hockey,football
cf_18918,18918,test,P131,Northwest Branch Anacostia River,{} is in,Northwest Branch Anacostia River is in,paraphrase_00,paraphrase_prompts,"players
Category:Bolton Wanderers F.C. Northwest Branch Anacostia River can be found in",Maryland,Maryland,Ontario
cf_18918,18918,test,P131,Northwest Branch Anacostia River,{} is in,Northwest Branch Anacostia River is in,paraphrase_01,paraphrase_prompts,"She swam in the preliminary heats for both relays. Northwest Branch Anacostia River, in",Maryland,Maryland,Ontario
cf_6300,6300,test,P106,Alston G. Dayton,{} works as,Alston G. Dayton works as,paraphrase_00,paraphrase_prompts,"– Nepal bird cherry
 Prunus nipponica Matsum. Alston G. Dayton's profession is a",politician,politician,actor
cf_6300,6300,test,P106,Alston G. Dayton,{} works as,Alston G. Dayton works as,paraphrase_01,paraphrase_prompts,"""Combat Power"" (CP) also returns from Pokémon Go. The profession of Alston G. Dayton is",politician,politician,actor
cf_2279,2279,test,P103,Alain Mabanckou,"{}, a native","Alain Mabanckou, a native",paraphrase_00,paraphrase_prompts,There are about 629 houses in Piparwani village. Alain Mabanckou is a native speaker of,French,French,Swedish
cf_2279,2279,test,P103,Alain Mabanckou,"{}, a native","Alain Mabanckou, a native",paraphrase_01,paraphrase_prompts,English tr. The native language of Alain Mabanckou is,French,French,Swedish
cf_1501,1501,test,P103,Maurice Schutz,"{}, speaker of","Maurice Schutz, speaker of",paraphrase_00,paraphrase_prompts,"Description

Stem and leaves
Nepenthes lowii is a climbing plant. The native language of Maurice Schutz is",French,French,Russian
cf_1501,1501,test,P103,Maurice Schutz,"{}, speaker of","Maurice Schutz, speaker of",paraphrase_01,paraphrase_prompts,"It is threatened by habitat loss. Maurice Schutz, a native",French,French,Russian
cf_21668,21668,test,P178,Siri,"{}, developed by","Siri, developed by",paraphrase_00,paraphrase_prompts,"Background

Club

Roster
As of April 9, 2018. Siri, a product manufactured by",Apple,Apple,IBM
cf_21668,21668,test,P178,Siri,"{}, developed by","Siri, developed by",paraphrase_01,paraphrase_prompts,"Today it is housed in the Museo del Prado, Madrid. Siri, a product created by",Apple,Apple,IBM
cf_7467,7467,test,P276,Abiel Smith School,{} can be found in,Abiel Smith School can be found in,paraphrase_00,paraphrase_prompts,They also reached the semi-finals of the FA Cup. Abiel Smith School is located in,Boston,Boston,Arizona
cf_7467,7467,test,P276,Abiel Smith School,{} can be found in,Abiel Smith School can be found in,paraphrase_01,paraphrase_prompts,"Sequence of events
 The client calls the client stub. Abiel Smith School is in",Boston,Boston,Arizona
cf_9482,9482,test,P106,Cigoli,{}'s profession is a,Cigoli's profession is a,paraphrase_00,paraphrase_prompts,"Agent who was first seen in ""Pup Daddy"". The occupation of Cigoli is",architect,architect,actor
cf_9482,9482,test,P106,Cigoli,{}'s profession is a,Cigoli's profession is a,paraphrase_01,paraphrase_prompts,Later they were dominated by the kingdom of Naples. Cigoli's occupation is,architect,architect,actor
cf_2614,2614,test,P30,Neuburg Peak,{} is located in the continent,Neuburg Peak is located in the continent,paraphrase_00,paraphrase_prompts,Shake It Records (often stylized Shake It! Neuburg Peak is in,Antarctica,Antarctica,Europe
cf_2614,2614,test,P30,Neuburg Peak,{} is located in the continent,Neuburg Peak is located in the continent,paraphrase_01,paraphrase_prompts,It is found in Argentina. Neuburg Peak is located in,Antarctica,Antarctica,Europe
cf_7628,7628,test,P17,Orpheus Island National Park,"{}, which is located in","Orpheus Island National Park, which is located in",paraphrase_00,paraphrase_prompts,"Iced Over: Three vertically spinning diamonds. Orpheus Island National Park, in",Australia,Australia,Italy
