fact_id,pair_type,n_variants,n_correct,n_wrong
cf_12036,wrong_wrong,2,0,2
cf_12037,wrong_wrong,2,0,2
cf_12044,wrong_wrong,2,0,2
cf_12053,wrong_wrong,2,0,2
cf_12059,wrong_wrong,2,0,2
cf_12077,wrong_wrong,2,0,2
cf_12082,correct_correct,2,2,0
cf_12087,wrong_wrong,2,0,2
cf_12088,correct_wrong,2,1,1
cf_12092,wrong_wrong,2,0,2
cf_12098,correct_wrong,2,1,1
cf_12108,wrong_wrong,2,0,2
cf_1211,wrong_wrong,2,0,2
cf_12125,wrong_wrong,2,0,2
cf_1213,correct_wrong,2,1,1
cf_12130,correct_wrong,2,1,1
cf_12141,wrong_wrong,2,0,2
cf_12142,correct_wrong,2,1,1
cf_12155,wrong_wrong,2,0,2
cf_12157,wrong_wrong,2,0,2
cf_12163,wrong_wrong,2,0,2
cf_12172,wrong_wrong,2,0,2
cf_1219,wrong_wrong,2,0,2
cf_12190,correct_wrong,2,1,1
cf_12210,correct_correct,2,2,0
cf_12217,correct_correct,2,2,0
cf_12228,correct_correct,2,2,0
cf_12232,correct_wrong,2,1,1
cf_12236,wrong_wrong,2,0,2
cf_12252,wrong_wrong,2,0,2
cf_12253,correct_correct,2,2,0
cf_12265,wrong_wrong,2,0,2
cf_12282,wrong_wrong,2,0,2
cf_12285,correct_correct,2,2,0
cf_12298,correct_correct,2,2,0
cf_1232,wrong_wrong,2,0,2
cf_12327,correct_wrong,2,1,1
cf_12343,wrong_wrong,2,0,2
cf_12344,correct_wrong,2,1,1
cf_1236,wrong_wrong,2,0,2
cf_12360,wrong_wrong,2,0,2
cf_12403,wrong_wrong,2,0,2
cf_12418,wrong_wrong,2,0,2
cf_12422,correct_correct,2,2,0
cf_12423,wrong_wrong,2,0,2
cf_12433,wrong_wrong,2,0,2
cf_12449,correct_correct,2,2,0
cf_12452,correct_wrong,2,1,1
cf_12455,correct_wrong,2,1,1
cf_12458,wrong_wrong,2,0,2
cf_12464,wrong_wrong,2,0,2
cf_12481,wrong_wrong,2,0,2
cf_12485,wrong_wrong,2,0,2
cf_12492,correct_correct,2,2,0
cf_12496,wrong_wrong,2,0,2
cf_12504,correct_correct,2,2,0
cf_12513,wrong_wrong,2,0,2
cf_1253,correct_correct,2,2,0
cf_12535,wrong_wrong,2,0,2
cf_12545,wrong_wrong,2,0,2
cf_12549,wrong_wrong,2,0,2
cf_1255,correct_wrong,2,1,1
cf_12551,correct_correct,2,2,0
cf_12569,correct_correct,2,2,0
cf_12582,wrong_wrong,2,0,2
cf_12587,wrong_wrong,2,0,2
cf_12598,wrong_wrong,2,0,2
cf_12605,correct_wrong,2,1,1
cf_12608,wrong_wrong,2,0,2
cf_12622,correct_correct,2,2,0
cf_12651,correct_wrong,2,1,1
cf_12653,wrong_wrong,2,0,2
cf_12659,wrong_wrong,2,0,2
cf_12666,wrong_wrong,2,0,2
cf_12669,wrong_wrong,2,0,2
cf_12677,correct_correct,2,2,0
cf_1268,wrong_wrong,2,0,2
cf_12680,correct_correct,2,2,0
cf_12694,wrong_wrong,2,0,2
cf_12735,wrong_wrong,2,0,2
cf_12742,correct_correct,2,2,0
cf_1275,wrong_wrong,2,0,2
cf_12762,wrong_wrong,2,0,2
cf_12779,correct_wrong,2,1,1
cf_12793,correct_correct,2,2,0
cf_12794,correct_correct,2,2,0
cf_1282,correct_correct,2,2,0
cf_12843,wrong_wrong,2,0,2
cf_12876,wrong_wrong,2,0,2
cf_12885,correct_correct,2,2,0
cf_12907,wrong_wrong,2,0,2
cf_1291,correct_correct,2,2,0
cf_12911,wrong_wrong,2,0,2
cf_12929,wrong_wrong,2,0,2
cf_12951,correct_wrong,2,1,1
cf_12964,wrong_wrong,2,0,2
cf_12968,correct_wrong,2,1,1
cf_12969,wrong_wrong,2,0,2
cf_12991,wrong_wrong,2,0,2
cf_12997,wrong_wrong,2,0,2
cf_13,correct_wrong,2,1,1
cf_13011,correct_correct,2,2,0
cf_1302,wrong_wrong,2,0,2
cf_13022,wrong_wrong,2,0,2
cf_13024,correct_correct,2,2,0
cf_13042,wrong_wrong,2,0,2
cf_13046,correct_correct,2,2,0
cf_13049,wrong_wrong,2,0,2
cf_13056,wrong_wrong,2,0,2
cf_1306,correct_wrong,2,1,1
cf_13065,wrong_wrong,2,0,2
cf_1307,wrong_wrong,2,0,2
cf_13074,wrong_wrong,2,0,2
cf_13087,wrong_wrong,2,0,2
cf_13095,correct_wrong,2,1,1
cf_13096,correct_correct,2,2,0
cf_13107,wrong_wrong,2,0,2
cf_13121,correct_correct,2,2,0
cf_13122,wrong_wrong,2,0,2
cf_13126,wrong_wrong,2,0,2
cf_13130,wrong_wrong,2,0,2
cf_13132,correct_wrong,2,1,1
cf_13141,wrong_wrong,2,0,2
cf_13145,wrong_wrong,2,0,2
cf_13152,wrong_wrong,2,0,2
cf_13160,correct_correct,2,2,0
cf_1318,correct_wrong,2,1,1
cf_13185,wrong_wrong,2,0,2
cf_13189,wrong_wrong,2,0,2
cf_1319,correct_wrong,2,1,1
cf_13193,correct_correct,2,2,0
cf_13213,wrong_wrong,2,0,2
cf_13230,wrong_wrong,2,0,2
cf_13244,wrong_wrong,2,0,2
cf_13248,correct_wrong,2,1,1
cf_13251,wrong_wrong,2,0,2
cf_13252,wrong_wrong,2,0,2
cf_13272,correct_wrong,2,1,1
cf_13306,wrong_wrong,2,0,2
cf_13310,wrong_wrong,2,0,2
cf_13316,wrong_wrong,2,0,2
cf_13317,correct_correct,2,2,0
cf_13338,correct_correct,2,2,0
cf_13356,wrong_wrong,2,0,2
cf_13369,correct_wrong,2,1,1
cf_13373,correct_wrong,2,1,1
cf_13379,correct_wrong,2,1,1
cf_13380,wrong_wrong,2,0,2
cf_13382,correct_correct,2,2,0
cf_13386,correct_wrong,2,1,1
cf_13394,correct_wrong,2,1,1
cf_13416,correct_correct,2,2,0
cf_13434,wrong_wrong,2,0,2
cf_1344,wrong_wrong,2,0,2
cf_1345,correct_wrong,2,1,1
cf_13460,correct_wrong,2,1,1
cf_13461,wrong_wrong,2,0,2
cf_13463,correct_correct,2,2,0
cf_13470,correct_correct,2,2,0
cf_13488,correct_wrong,2,1,1
cf_1349,correct_correct,2,2,0
cf_13491,wrong_wrong,2,0,2
cf_13502,wrong_wrong,2,0,2
cf_13510,wrong_wrong,2,0,2
cf_13541,wrong_wrong,2,0,2
cf_13559,correct_wrong,2,1,1
cf_13571,wrong_wrong,2,0,2
cf_13580,correct_wrong,2,1,1
cf_13594,wrong_wrong,2,0,2
cf_13595,wrong_wrong,2,0,2
cf_13596,wrong_wrong,2,0,2
cf_13614,correct_wrong,2,1,1
cf_13615,wrong_wrong,2,0,2
cf_13619,correct_wrong,2,1,1
cf_13624,correct_correct,2,2,0
cf_13631,correct_wrong,2,1,1
cf_13637,wrong_wrong,2,0,2
cf_13650,wrong_wrong,2,0,2
cf_13686,correct_wrong,2,1,1
cf_1370,wrong_wrong,2,0,2
cf_13701,wrong_wrong,2,0,2
cf_13718,wrong_wrong,2,0,2
cf_1373,correct_correct,2,2,0
cf_13730,wrong_wrong,2,0,2
cf_13733,correct_correct,2,2,0
cf_13737,wrong_wrong,2,0,2
cf_13746,wrong_wrong,2,0,2
cf_13756,correct_wrong,2,1,1
cf_13757,wrong_wrong,2,0,2
cf_13764,wrong_wrong,2,0,2
cf_13767,wrong_wrong,2,0,2
cf_13777,wrong_wrong,2,0,2
cf_13794,wrong_wrong,2,0,2
cf_13813,wrong_wrong,2,0,2
cf_13824,wrong_wrong,2,0,2
cf_13825,wrong_wrong,2,0,2
cf_13833,wrong_wrong,2,0,2
cf_13848,correct_wrong,2,1,1
cf_13858,wrong_wrong,2,0,2
cf_1386,wrong_wrong,2,0,2
cf_13861,correct_wrong,2,1,1
cf_13865,wrong_wrong,2,0,2
cf_13869,wrong_wrong,2,0,2
cf_1387,wrong_wrong,2,0,2
cf_13874,wrong_wrong,2,0,2
cf_13879,wrong_wrong,2,0,2
cf_13894,wrong_wrong,2,0,2
cf_13903,wrong_wrong,2,0,2
cf_13910,correct_correct,2,2,0
cf_13930,correct_wrong,2,1,1
cf_13931,wrong_wrong,2,0,2
cf_13942,wrong_wrong,2,0,2
cf_13962,correct_wrong,2,1,1
cf_13968,wrong_wrong,2,0,2
cf_13983,correct_correct,2,2,0
cf_13984,correct_correct,2,2,0
cf_14014,wrong_wrong,2,0,2
cf_14037,correct_wrong,2,1,1
cf_14038,wrong_wrong,2,0,2
cf_14044,wrong_wrong,2,0,2
cf_14051,correct_correct,2,2,0
cf_14061,wrong_wrong,2,0,2
cf_14065,wrong_wrong,2,0,2
cf_14066,wrong_wrong,2,0,2
cf_14083,correct_wrong,2,1,1
cf_14086,correct_wrong,2,1,1
cf_14087,wrong_wrong,2,0,2
cf_14092,wrong_wrong,2,0,2
cf_14096,wrong_wrong,2,0,2
cf_14110,wrong_wrong,2,0,2
cf_14111,correct_wrong,2,1,1
cf_14112,wrong_wrong,2,0,2
cf_14120,wrong_wrong,2,0,2
cf_14124,wrong_wrong,2,0,2
cf_14132,wrong_wrong,2,0,2
cf_14151,correct_wrong,2,1,1
cf_14156,wrong_wrong,2,0,2
cf_14176,correct_correct,2,2,0
cf_1420,wrong_wrong,2,0,2
cf_14205,wrong_wrong,2,0,2
cf_14220,wrong_wrong,2,0,2
cf_1423,wrong_wrong,2,0,2
cf_14239,wrong_wrong,2,0,2
cf_14246,correct_correct,2,2,0
cf_14252,correct_wrong,2,1,1
cf_1426,correct_wrong,2,1,1
cf_14270,correct_correct,2,2,0
cf_14272,correct_wrong,2,1,1
cf_14276,correct_correct,2,2,0
cf_14281,wrong_wrong,2,0,2
cf_14283,correct_wrong,2,1,1
cf_14288,wrong_wrong,2,0,2
cf_14294,correct_correct,2,2,0
cf_14299,correct_wrong,2,1,1
cf_1430,wrong_wrong,2,0,2
cf_1431,correct_correct,2,2,0
cf_14310,wrong_wrong,2,0,2
cf_14318,wrong_wrong,2,0,2
cf_14335,wrong_wrong,2,0,2
cf_14341,wrong_wrong,2,0,2
cf_14344,wrong_wrong,2,0,2
cf_1435,correct_wrong,2,1,1
cf_14355,wrong_wrong,2,0,2
cf_14356,wrong_wrong,2,0,2
cf_14358,wrong_wrong,2,0,2
cf_14390,correct_correct,2,2,0
cf_14398,wrong_wrong,2,0,2
cf_14404,wrong_wrong,2,0,2
cf_14409,wrong_wrong,2,0,2
cf_14410,correct_correct,2,2,0
cf_14413,wrong_wrong,2,0,2
cf_14427,wrong_wrong,2,0,2
cf_14433,correct_correct,2,2,0
cf_14437,correct_wrong,2,1,1
cf_1444,correct_wrong,2,1,1
cf_14444,wrong_wrong,2,0,2
cf_14474,correct_wrong,2,1,1
cf_14476,wrong_wrong,2,0,2
cf_14478,correct_correct,2,2,0
cf_14484,wrong_wrong,2,0,2
cf_14488,wrong_wrong,2,0,2
cf_14490,correct_correct,2,2,0
cf_14502,wrong_wrong,2,0,2
cf_14507,wrong_wrong,2,0,2
cf_14519,correct_wrong,2,1,1
cf_1452,wrong_wrong,2,0,2
cf_14520,wrong_wrong,2,0,2
cf_14528,wrong_wrong,2,0,2
cf_14534,wrong_wrong,2,0,2
cf_14538,wrong_wrong,2,0,2
cf_1454,correct_wrong,2,1,1
cf_14545,wrong_wrong,2,0,2
cf_14547,correct_correct,2,2,0
cf_14555,correct_correct,2,2,0
cf_14571,correct_wrong,2,1,1
cf_14585,wrong_wrong,2,0,2
cf_14611,wrong_wrong,2,0,2
cf_14623,correct_wrong,2,1,1
cf_14632,wrong_wrong,2,0,2
cf_14651,wrong_wrong,2,0,2
cf_14685,wrong_wrong,2,0,2
cf_14689,correct_wrong,2,1,1
cf_14699,wrong_wrong,2,0,2
cf_14700,correct_correct,2,2,0
cf_14709,wrong_wrong,2,0,2
cf_14710,correct_wrong,2,1,1
cf_14719,wrong_wrong,2,0,2
cf_14723,wrong_wrong,2,0,2
cf_14732,wrong_wrong,2,0,2
cf_14736,correct_correct,2,2,0
cf_14743,correct_wrong,2,1,1
cf_14744,correct_wrong,2,1,1
cf_14747,correct_wrong,2,1,1
cf_14757,correct_correct,2,2,0
cf_14762,wrong_wrong,2,0,2
cf_14771,wrong_wrong,2,0,2
cf_14782,wrong_wrong,2,0,2
cf_14794,wrong_wrong,2,0,2
cf_14796,wrong_wrong,2,0,2
cf_14808,wrong_wrong,2,0,2
cf_14811,correct_correct,2,2,0
cf_14812,wrong_wrong,2,0,2
cf_1482,wrong_wrong,2,0,2
cf_1484,wrong_wrong,2,0,2
cf_1485,wrong_wrong,2,0,2
cf_14857,correct_correct,2,2,0
cf_14860,correct_wrong,2,1,1
cf_14861,correct_correct,2,2,0
cf_14864,wrong_wrong,2,0,2
cf_14865,correct_wrong,2,1,1
cf_14867,correct_wrong,2,1,1
cf_14868,wrong_wrong,2,0,2
cf_14877,correct_correct,2,2,0
cf_1488,wrong_wrong,2,0,2
cf_1489,wrong_wrong,2,0,2
cf_14899,correct_wrong,2,1,1
cf_14900,wrong_wrong,2,0,2
cf_14902,wrong_wrong,2,0,2
cf_14903,wrong_wrong,2,0,2
cf_14909,correct_wrong,2,1,1
cf_1491,correct_correct,2,2,0
cf_14920,wrong_wrong,2,0,2
cf_14923,wrong_wrong,2,0,2
cf_14957,wrong_wrong,2,0,2
cf_14967,correct_correct,2,2,0
cf_14969,wrong_wrong,2,0,2
cf_14972,correct_correct,2,2,0
cf_14974,correct_wrong,2,1,1
cf_14978,correct_correct,2,2,0
cf_14982,wrong_wrong,2,0,2
cf_14997,wrong_wrong,2,0,2
cf_15009,correct_wrong,2,1,1
cf_1501,wrong_wrong,2,0,2
cf_15017,wrong_wrong,2,0,2
cf_15035,correct_correct,2,2,0
cf_15054,correct_wrong,2,1,1
cf_15059,correct_correct,2,2,0
cf_15064,correct_correct,2,2,0
cf_15065,wrong_wrong,2,0,2
cf_1507,correct_correct,2,2,0
cf_15076,wrong_wrong,2,0,2
cf_15083,correct_wrong,2,1,1
cf_15110,wrong_wrong,2,0,2
cf_15120,correct_wrong,2,1,1
cf_15128,wrong_wrong,2,0,2
cf_15130,correct_wrong,2,1,1
cf_15138,wrong_wrong,2,0,2
cf_1514,correct_correct,2,2,0
cf_15147,correct_correct,2,2,0
cf_15159,correct_wrong,2,1,1
cf_15162,wrong_wrong,2,0,2
cf_15202,wrong_wrong,2,0,2
cf_15213,wrong_wrong,2,0,2
cf_15218,wrong_wrong,2,0,2
cf_15222,wrong_wrong,2,0,2
cf_15224,correct_correct,2,2,0
cf_15225,correct_wrong,2,1,1
cf_15227,wrong_wrong,2,0,2
cf_15232,wrong_wrong,2,0,2
cf_15236,correct_wrong,2,1,1
cf_15238,wrong_wrong,2,0,2
cf_15245,correct_wrong,2,1,1
cf_15264,correct_wrong,2,1,1
cf_15267,wrong_wrong,2,0,2
cf_15285,correct_wrong,2,1,1
cf_15296,correct_correct,2,2,0
cf_15303,correct_wrong,2,1,1
cf_15315,correct_correct,2,2,0
cf_15337,wrong_wrong,2,0,2
cf_15346,correct_correct,2,2,0
cf_15358,wrong_wrong,2,0,2
cf_15365,correct_wrong,2,1,1
cf_15368,correct_wrong,2,1,1
cf_15371,wrong_wrong,2,0,2
cf_15381,correct_wrong,2,1,1
cf_15384,correct_wrong,2,1,1
cf_15398,wrong_wrong,2,0,2
cf_15401,correct_wrong,2,1,1
cf_15405,correct_correct,2,2,0
cf_15411,correct_wrong,2,1,1
cf_15417,wrong_wrong,2,0,2
cf_15420,wrong_wrong,2,0,2
cf_15423,correct_correct,2,2,0
cf_1543,correct_wrong,2,1,1
cf_15449,correct_wrong,2,1,1
cf_15473,wrong_wrong,2,0,2
cf_15481,correct_wrong,2,1,1
cf_15488,wrong_wrong,2,0,2
cf_15498,wrong_wrong,2,0,2
cf_15505,correct_correct,2,2,0
cf_15507,wrong_wrong,2,0,2
cf_15512,correct_wrong,2,1,1
cf_15517,correct_wrong,2,1,1
cf_15523,wrong_wrong,2,0,2
cf_15540,wrong_wrong,2,0,2
cf_15554,wrong_wrong,2,0,2
cf_15569,wrong_wrong,2,0,2
cf_15574,wrong_wrong,2,0,2
cf_15585,correct_correct,2,2,0
cf_15600,correct_wrong,2,1,1
cf_15605,wrong_wrong,2,0,2
cf_15623,correct_wrong,2,1,1
cf_15629,wrong_wrong,2,0,2
cf_1564,wrong_wrong,2,0,2
cf_15654,wrong_wrong,2,0,2
cf_1566,wrong_wrong,2,0,2
cf_15680,correct_correct,2,2,0
cf_15684,correct_correct,2,2,0
cf_15686,wrong_wrong,2,0,2
cf_15695,correct_wrong,2,1,1
cf_15747,correct_wrong,2,1,1
cf_15773,wrong_wrong,2,0,2
cf_15789,correct_wrong,2,1,1
cf_15800,wrong_wrong,2,0,2
cf_15810,correct_wrong,2,1,1
cf_15825,correct_wrong,2,1,1
cf_15833,correct_wrong,2,1,1
cf_15843,wrong_wrong,2,0,2
cf_15866,correct_wrong,2,1,1
cf_15867,wrong_wrong,2,0,2
cf_15870,wrong_wrong,2,0,2
cf_15879,correct_correct,2,2,0
cf_15883,correct_wrong,2,1,1
cf_15906,wrong_wrong,2,0,2
cf_15913,wrong_wrong,2,0,2
cf_15914,wrong_wrong,2,0,2
cf_15924,wrong_wrong,2,0,2
cf_15934,wrong_wrong,2,0,2
cf_1594,wrong_wrong,2,0,2
cf_15945,wrong_wrong,2,0,2
cf_15947,correct_correct,2,2,0
cf_15976,wrong_wrong,2,0,2
cf_15989,wrong_wrong,2,0,2
cf_15998,wrong_wrong,2,0,2
cf_16008,wrong_wrong,2,0,2
cf_16009,wrong_wrong,2,0,2
cf_16010,correct_wrong,2,1,1
cf_16034,correct_wrong,2,1,1
cf_16044,wrong_wrong,2,0,2
cf_16062,correct_wrong,2,1,1
cf_16065,correct_wrong,2,1,1
cf_1607,wrong_wrong,2,0,2
cf_16083,wrong_wrong,2,0,2
cf_16085,wrong_wrong,2,0,2
cf_16095,wrong_wrong,2,0,2
cf_16112,wrong_wrong,2,0,2
cf_16113,wrong_wrong,2,0,2
cf_16142,correct_wrong,2,1,1
cf_16171,correct_correct,2,2,0
cf_16180,wrong_wrong,2,0,2
cf_16188,wrong_wrong,2,0,2
cf_16191,wrong_wrong,2,0,2
cf_16197,wrong_wrong,2,0,2
cf_16199,wrong_wrong,2,0,2
cf_16216,wrong_wrong,2,0,2
cf_16230,wrong_wrong,2,0,2
cf_16235,wrong_wrong,2,0,2
cf_16259,correct_wrong,2,1,1
cf_16276,correct_correct,2,2,0
cf_16297,wrong_wrong,2,0,2
cf_16298,correct_correct,2,2,0
cf_1630,wrong_wrong,2,0,2
cf_16302,correct_wrong,2,1,1
cf_16307,wrong_wrong,2,0,2
cf_16319,correct_wrong,2,1,1
cf_16327,correct_wrong,2,1,1
cf_16330,wrong_wrong,2,0,2
cf_16334,wrong_wrong,2,0,2
cf_16343,correct_wrong,2,1,1
cf_16352,wrong_wrong,2,0,2
cf_16358,correct_wrong,2,1,1
cf_16378,correct_correct,2,2,0
cf_16386,wrong_wrong,2,0,2
cf_16392,wrong_wrong,2,0,2
