fact_id,subject,paraphrase_variant,prompt_given_to_model,true_answer_target_true,counterfactual_answer_target_new,gemma3_generated_answer,correct_against_target_true
cf_6515,Guillaumes,paraphrase_01,(2007). Guillaumes is located in the country of,France,Norway, France. Guillaumes is a small town located in the department of Haute-,True
cf_15054,Nintendo Software Planning & Development,paraphrase_00,"July 1920. Nintendo Software Planning & Development, from",Nintendo,Chicago," the Nintendo Research & Development Division, was established.

July 192",True
cf_15054,Nintendo Software Planning & Development,paraphrase_01,For services to Education. Nintendo Software Planning & Development is from,Nintendo,Chicago," Kyoto, Japan.

The company was founded in 1983 by",False
cf_17571,Hilary Putnam,paraphrase_00,Late 1970s and early 1980s releases mostly had plastic bases. The profession of Hilary Putnam is,philosopher,actor, philosophy. Hilary Putnam is a philosopher who has made important contributions to the philosophy of,True
cf_17571,Hilary Putnam,paraphrase_01,"Rev Dr Peter McEnhill is the current minister. Hilary Putnam, who works as",philosopher,actor," a minister in the Church of England, is the curate.

The church is",False
cf_4090,Michel Poniatowski,paraphrase_00,"For other people called Antianeira see Antianeira (disambiguation). Michel Poniatowski, a native",French,Spanish," of Paris, was born in 1749. He was a French",False
cf_4090,Michel Poniatowski,paraphrase_01,(jg.) Michel Poniatowski is a native speaker of,French,Spanish, French and English. He has been a teacher of French and English for over ,True
cf_18089,"George Cadogan, 5th Earl Cadogan",paraphrase_00,"Mr Keki Daruwalla, the Distinguished poet, delivered the Keynote Address. George Cadogan, 5th Earl Cadogan died at",London,Minneapolis, the age of 89 in 1992. The Cadogan,False
cf_18089,"George Cadogan, 5th Earl Cadogan",paraphrase_01,"All pending litigation was dropped. George Cadogan, 5th Earl Cadogan expired at",London,Minneapolis, his home in London on 21st March 1931.,True
cf_9606,Norway,paraphrase_00,"References 

Category:Populated places in Torbat-e Jam County Norway's capital is",Oslo,Rome," Oslo.

Torbat-e Jam is a city in Khorasan Razavi",True
cf_9606,Norway,paraphrase_01,"players
Category:Association football midfielders Norway, which has the capital city",Oslo,Rome," of Oslo, is a country in Northern Europe. It is bordered by Sweden to",False
cf_11850,Steve Yzerman,paraphrase_00,Modern recipes sometimes substitute crumbled cooked bacon. Steve Yzerman plays,hockey,football, for the Detroit Red Wings. The Detroit Red Wings are a professional ice hockey team,False
cf_11850,Steve Yzerman,paraphrase_01,Repairs were completed in 1987. Steve Yzerman is a professional,hockey,football, ice hockey player who has played for the Detroit Red Wings of the National Hockey League,True
cf_2279,Alain Mabanckou,paraphrase_00,There are about 629 houses in Piparwani village. Alain Mabanckou is a native speaker of,French,Swedish," the village. He is a writer, novelist, and short story writer. He",False
cf_2279,Alain Mabanckou,paraphrase_01,English tr. The native language of Alain Mabanckou is,French,Swedish, French. He was born in the Republic of the Congo in 196,True
cf_12455,Cumberland University,paraphrase_00,"RIAA Labels

 1500
 19 Recordings
 2.O.G. Cumberland University is within",Tennessee,Cardiff," the Cumberland University system. Cumberland University is a private, four-year, liberal",False
cf_12455,Cumberland University,paraphrase_01,Cormier is a former UFC heavyweight and light heavyweight champion. Cumberland University is in,Tennessee,Cardiff," Lebanon, Tennessee.

Cormier is a former UFC heavyweight and light heavyweight",True
cf_12130,Simdega,paraphrase_00,Hans Gutmann was born in Cologne. Simdega is located in,India,Libya," the state of Jharkhand, India.

Hans Gutmann was born in Cologne.",True
cf_12130,Simdega,paraphrase_01,"Vol. Simdega, in",India,Libya," the state of Jharkhand, is a city that is known for its rich cultural heritage",False
cf_19960,Pelagius II,paraphrase_00,"(Special mention for Prix Cesco Tomaselli, 2009). Pelagius II holds the title of",pope,Shah, the first pope to be canonized. He was born in Rome in 5,True
cf_19960,Pelagius II,paraphrase_01,"They have since attracted an international audience. Pelagius II, whose position is that of",pope,Shah," a bishop, is the first to be mentioned in the history of the church.",False
cf_17502,Luca Pacioli,paraphrase_00,"Its meaning is ""person who brings kind news"". Luca Pacioli's domain of work is",mathematics,physics," mathematics.

Luca Pacioli was born in 1445 in",True
cf_17502,Luca Pacioli,paraphrase_01,They talked. Luca Pacioli specializes in,mathematics,physics, the art of double entry bookkeeping. He was a Franciscan friar and a mathematician,False
cf_1051,Vistula,paraphrase_00,There is an exceptionally large cromlech at Ballyganner. Vistula is a part of the continent of,Europe,Antarctica, Europe. The cromlech is a type of megalithic monument. The crom,True
cf_1051,Vistula,paraphrase_01,are grouped together as the 'Skomer Volcanic Series'. Vistula is in,Europe,Antarctica," the middle of the series, and is the only one of the three to be",False
cf_2168,American Samoa,paraphrase_00,"Scary Larry of GamePro panned the PlayStation version. In American Samoa, they understand",English,Swedish," the game as a ""game of the year"".

The game was released in",False
cf_2168,American Samoa,paraphrase_01,Dellacqua fought hard but went down in two sets. The official language of American Samoa is,English,Swedish, English. The official language of American Samoa is English. The official language of American,True
cf_21477,Aldus Manutius,paraphrase_00,Desbarats is a surname. Aldus Manutius took up work in,Venice,Berlin, the printing trade in Venice in 1490. He was a printer,True
cf_21477,Aldus Manutius,paraphrase_01,All are convicted of either multiple murders or child murder. Aldus Manutius found employment in,Venice,Berlin," Venice, where he was able to publish his first book, a collection of Greek",False
cf_4532,Event Viewer,paraphrase_00,Shankini and Mahabbat plan to flee from their respective prisons. Event Viewer is a product of,Microsoft,IBM, Microsoft that allows you to view and manage events in Windows. The event viewer is,True
cf_4532,Event Viewer,paraphrase_01,"References

Category:Mountains of Hubei
Category:Geography of Wuhan Event Viewer, a product of",Microsoft,IBM," the U.S. Geological Survey, provides access to earthquake information from the USGS",False
cf_16696,The Honeymooners,paraphrase_00,Gottes Spuren in den Naturgesetzen. The Honeymooners is to debut on,CBS,NBC," the streaming service on Friday, June 19. The Honeymooners is",False
cf_16696,The Honeymooners,paraphrase_01,Falafel is commonly accompanied by tahini. The Honeymooners was originally aired on,CBS,NBC, CBS from 1955 to 1956. The Hone,True
cf_5008,The Barbara Stanwyck Show,paraphrase_00,"[Washington]: [publisher not identified], 1872. The Barbara Stanwyck Show premiered on",NBC,CBS," NBC on September 21, 1951, and ran for",True
cf_5008,The Barbara Stanwyck Show,paraphrase_01,Maria is shocked to see him. The Barbara Stanwyck Show is to debut on,NBC,CBS," CBS on September 15, 1951. The show was",False
cf_2081,IBM Network Control Program,paraphrase_00,"Soviet Cup winner: 1989. IBM Network Control Program, a product developed by",IBM,Boeing," IBM, is a software package that provides a comprehensive solution for managing and controlling network",False
cf_2081,IBM Network Control Program,paraphrase_01,"While often mentioned, this etymology is not widely accepted. IBM Network Control Program is developed by",IBM,Boeing," IBM and is used for IBM Network Control Program.

The IBM Network Control Program",True
cf_3753,Henrique Maximiano Coelho Neto,paraphrase_00,"She and Totoko are friends with Haine. Henrique Maximiano Coelho Neto, a citizen of",Brazil,Norway," Brazil, was born on 1980-01-01",False
cf_3753,Henrique Maximiano Coelho Neto,paraphrase_01,The God is considered to be evil. Henrique Maximiano Coelho Neto has a citizenship from,Brazil,Norway," Brazil. He is a Brazilian writer, poet, and journalist. He was born",True
cf_21003,Francesco Bolzoni,paraphrase_00,IFK Fjärås are affiliated to Hallands Fotbollförbund. Which position does Francesco Bolzoni play? They play as,midfielder,quarterback, a Midfielder in the Superettan league. Francesco Bolzoni is 2,True
cf_21003,Francesco Bolzoni,paraphrase_01,"The 'large fair' took place in neighbouring Llandeilo. Francesco Bolzoni, who plays the position",midfielder,quarterback," of the 'King of the Fair', was the main attraction. He was a",False
cf_14246,Syed Kalbe Hussain,paraphrase_00,"Pama, C. (1965). Syed Kalbe Hussain follows the religion of",Islam,Buddhism," Islam. <em>The Pakistan Times</em>, 1965, ",True
cf_14246,Syed Kalbe Hussain,paraphrase_01,For services to Music. Syed Kalbe Hussain is follower of,Islam,Buddhism," the Sufi tradition of Islam. He is a singer, composer, and music",False
cf_3486,Federated States of Micronesia,paraphrase_00,The Kree appear in The Avengers: Earth's Mightiest Heroes. The official language of Federated States of Micronesia is,English,Russian, English. The Kree are a race of aliens from the planet Hala. The,True
cf_3486,Federated States of Micronesia,paraphrase_01,"NASA Tech. In Federated States of Micronesia, they understand",English,Russian, the importance of a strong and healthy community. The Federated States of Micronesia,False
cf_19954,New Democratic Party Socialist Caucus,paraphrase_00,It was described in 2004 by Tsuru. New Democratic Party Socialist Caucus is located in the country of,Canada,India, Canada. The party was founded in 1991. The party is,True
cf_19954,New Democratic Party Socialist Caucus,paraphrase_01,Sher overhears this. New Democratic Party Socialist Caucus is located in,Canada,India, the House of Commons. The NDP is a federal political party in Canada. The,False
cf_18,Porsche 911,paraphrase_00,"The LRO described Sundar as a ""naxal worker"" (sic). Porsche 911 is developed by",Porsche,Honda," the German car manufacturer Porsche. The LRO also said that the car was """,False
cf_18,Porsche 911,paraphrase_01,"References

External links 
 Monte Sobretta in Mountains for Everybody. Porsche 911, developed by",Porsche,Honda," the Porsche Design Studio.
 Monte Sobretta in the Porsche 911",True
cf_10621,Beatrix of the Netherlands,paraphrase_00,"The stadium has a maximum capacity of 4,000 people. Beatrix of the Netherlands, a native",Dutch,French," of the Netherlands, was the first to visit the stadium in 198",False
cf_10621,Beatrix of the Netherlands,paraphrase_01,The population density was . Beatrix of the Netherlands is a native speaker of,Dutch,French, Dutch. The Netherlands is a country in Western Europe. The Netherlands is a country,True
cf_3665,Porrentruy,paraphrase_00,"The lake nearly extends to California. In Porrentruy, an official language is",French,Finnish, spoken. The lake is 100 km long and 10 km,False
cf_3665,Porrentruy,paraphrase_01,"Coll &  Cormack: Liadan's other sons. In Porrentruy, the language spoken is",French,Finnish," French. The name of the village is pronounced ""Por-on-truy",True
cf_7892,Andrew Neil,paraphrase_00,"In July 1930, the Okrugs were abolished. Andrew Neil, of",BBC,IBM," the <i>Daily Telegraph</i>, wrote that the Okrugs were ""a",False
cf_7892,Andrew Neil,paraphrase_01,24/7 live customer service and support; email support. Andrew Neil works for,BBC,IBM, the BBC and is a well-known journalist and broadcaster. The BBC is a,True
cf_21618,Ferdinand-Alphonse Hamelin,paraphrase_00,He was a proponent of interdisciplinary and holistic teaching. Ferdinand-Alphonse Hamelin is a native speaker of,French,English, French and English. He is a professor of French and English at the University of,True
cf_21618,Ferdinand-Alphonse Hamelin,paraphrase_01,"1868)
1923 – Raymond Radiguet, French author and poet (b. Ferdinand-Alphonse Hamelin, a native",French,English," of Paris, France)
1923 – John Galsworthy,",False
cf_5410,Joseph Louis Gay-Lussac,paraphrase_00,"""Everybody in Philadelphia,"" Language Log, Saturday, July 21, 2007. Joseph Louis Gay-Lussac's domain of work is",chemistry,physics," chemistry, but he was also a physicist and a mathematician. He was born in",False
cf_5410,Joseph Louis Gay-Lussac,paraphrase_01,His post at Bhagalpur was confirmed in 1854. Joseph Louis Gay-Lussac works in the field of,chemistry,physics, chemistry. He was born on 6 December 1778 in Paris,True
cf_8685,Goffredo Petrassi,paraphrase_00,"Early life

Mateev was born in Sofia, Bulgaria. Goffredo Petrassi died at",Rome,Warsaw," the age of 90 in 2003.

Career

",False
cf_8685,Goffredo Petrassi,paraphrase_01,Gnaeus Aurelius Cn. Goffredo Petrassi died in the city of,Rome,Warsaw, Rome on 10 September 1975. He was born in,True
cf_19876,Shaad Ali,paraphrase_00,They usually call him Jin. Shaad Ali holds a citizenship from,India,Albania," India. He is a director and producer, known for The Legend of Michael Kohl",True
cf_19876,Shaad Ali,paraphrase_01,"Sergey has disappeared. Shaad Ali, who holds a citizenship from",India,Albania," the United States, is a former member of the Russian military. He is a",False
cf_6591,Turkmenistan,paraphrase_00,The white-collar worker invaded the office in huge numbers. Turkmenistan is a part of the continent of,Asia,Antarctica, Asia. The country is located in the Central Asian region. The country is bordered,True
cf_6591,Turkmenistan,paraphrase_01,He deployed his parachute and landed safely. Turkmenistan is located in the continent,Asia,Antarctica," of Asia. The country is bordered by Kazakhstan to the north, Uzbekistan to the",False
cf_8123,Firuz Shah Tughlaq,paraphrase_00,"Entali, 20. The official religion of Firuz Shah Tughlaq is",Islam,Buddhism, Islam. The official religion of Firuz Shah Tughlaq is Islam.,True
cf_8123,Firuz Shah Tughlaq,paraphrase_01,"West Africa

Pentecostalism was also carried to West Africa. Firuz Shah Tughlaq is follower of",Islam,Buddhism," Sufism.

The Sufi movement was a movement of the mystics of",False
cf_689,Gianluigi Lentini,paraphrase_00,"Companies
Citron founded or co-founded five companies: Limpopo Films, Pty. Which position does Gianluigi Lentini play? They play as",midfielder,linebacker, a midfielder and their current club is FC Volendam. Gianluigi Lentini,True
cf_689,Gianluigi Lentini,paraphrase_01,"Liber de conservatione vitae humanae, 1308. Gianluigi Lentini plays in the position of",midfielder,linebacker," a 14th-century Italian humanist, who is a member of the",False
cf_18150,Herbert von Karajan,paraphrase_00,"327 (GC 1/3 Corse) (Spitfire IX)
 No. Herbert von Karajan worked in",Berlin,Budapest, the orchestra of the Berlin Philharmonic from 1929 to 19,True
cf_18150,Herbert von Karajan,paraphrase_01,1166–aft. Herbert von Karajan worked in the city of,Berlin,Budapest, Salzburg as a conductor and music director. He was born in Salzburg on April ,False
cf_2208,Hellenic Police,paraphrase_00,"On the church's roof there are three tall wooden steeples. Hellenic Police, located in",Greece,Germany," the area of ​​the church, is the first to be seen from the sea",False
cf_2208,Hellenic Police,paraphrase_01,These are managed and maintained by TISS. Hellenic Police is located in the country of,Greece,Germany, Greece. The Hellenic Police is a government agency that is responsible for the maintenance,True
cf_13338,Berlin International Film Festival,paraphrase_00,Cambridge: Harvard University Press. Berlin International Film Festival is located in,Berlin,Swansea, the German capital city of Berlin. The festival is held annually in February and is,False
cf_13338,Berlin International Film Festival,paraphrase_01,The Development of Chess Style. Where is Berlin International Film Festival? It is located in,Berlin,Swansea," Berlin, Germany. The Berlin International Film Festival is the largest film festival in the",True
cf_3176,British Guiana,paraphrase_00,He died at Bournemouth in February 1919. The capital city of British Guiana is,Georgetown,Manila," named after him.

He was the son of John and Mary (née Williams",False
cf_3176,British Guiana,paraphrase_01,She joined the BBC as a News Trainee. British Guiana's capital is,Georgetown,Manila, Georgetown. The country is located in the northern part of South America. Guyana is,True
cf_15303,Virginia,paraphrase_00,"fully professional league). In Virginia, an official language is",English,Finnish," not recognized, but English is the most common language spoken.

The state of",True
cf_15303,Virginia,paraphrase_01,"Athletes are grouped according to their impairment as follows:

 BC1. The law in Virginia declares the language",English,Finnish," of the Constitution to be the law of the Commonwealth.

 BC2. The",False
cf_21412,Google Reader,paraphrase_00,11 manufactured. Google Reader is owned by,Google,Italy," Google and is a free service that allows you to subscribe to and read blogs,",True
cf_21412,Google Reader,paraphrase_01,The Soviet designation for the Mod Kashin is Project 61MP. Google Reader's owner,Google,Italy,", Google, has announced that it will be shutting down the service on July ",False
cf_1986,La Jornada,paraphrase_00,Each indentation indicates a generation. The language of La Jornada is,Spanish,English," Spanish.

The first generation of the family was born in the 19",True
cf_1986,La Jornada,paraphrase_01,Formerly Latur was in Osmanabad District. The original language of La Jornada was,Spanish,English, Marathi. The city is located in the Marathwada region of Maharashtra.,False
cf_13193,Jewish Theological Seminary of America,paraphrase_00,The issues were numbered 43 through 45. Jewish Theological Seminary of America is affiliated with the religion,Judaism,Islam, of Judaism. The issues were numbered 43 through 45. The,False
cf_13193,Jewish Theological Seminary of America,paraphrase_01,For services to Education. The official religion of Jewish Theological Seminary of America is,Judaism,Islam, Judaism. The Jewish Theological Seminary of America is a Jewish seminary in New York City,True
cf_14700,Chicago Rockets,paraphrase_00,"When first opened, it housed six classrooms. Chicago Rockets can be found in",Chicago,Singapore, the Chicago area. The school was built in 1925 and was,True
cf_14700,Chicago Rockets,paraphrase_01,Odo had built the first castle at Rochester in 1067. Chicago Rockets is in,Chicago,Singapore, the process of building a new stadium in the city of Chicago. The stadium will,False
cf_8185,Fernand Ledoux,paraphrase_00,"Wagemark Registration 
Wagemark Registration is open to all organizations. The mother tongue of Fernand Ledoux is",French,English, French. He is a member of the French Association of the Deaf (AFB,True
cf_8185,Fernand Ledoux,paraphrase_01,"The title release was announced on June 28, 2001. Fernand Ledoux spoke the language",French,English," of the people, and his songs were sung by the people. He was a",False
cf_1657,2004 Madrid train bombings,paraphrase_00,"In August, 2019, Chaparro gave birth to a baby girl. Where is 2004 Madrid train bombings? It is located in",Madrid,Illinois," the city of Madrid, Spain. The Madrid train bombings were a series of coordinated",True
cf_1657,2004 Madrid train bombings,paraphrase_01,City walls have four gates. The location of 2004 Madrid train bombings is,Madrid,Illinois, in the Puerta del Sol. The Puerta del Sol is the center of,False
cf_3056,Greenwich Park,paraphrase_00,She received the Constantijn Huygens Prize in 1970. Greenwich Park can be found in,Greenwich,Edinburgh," the Royal Borough of Greenwich, London, England. Greenwich Park is a public park",True
cf_3056,Greenwich Park,paraphrase_01,"Against Auburn, Mallard had 10 tackles and two quarterback pressures. The location of Greenwich Park is",Greenwich,Edinburgh," in the heart of the city, and it is a popular place for tourists to",False
cf_13317,Jo Berger Myhre,paraphrase_00,Dallinger is a surname. Jo Berger Myhre is a citizen of,Norway,Australia," Norway.

Dallinger is a surname. Jo Berger Myhre is a",True
cf_13317,Jo Berger Myhre,paraphrase_01,"The total population of these 10 cities was 2,719,910. Jo Berger Myhre, who holds a citizenship from",Norway,Australia," Norway, is a Norwegian-American author and journalist. The 10 largest",False
cf_5394,Wallace Carothers,paraphrase_00,Quart is an imperial and US customary unit of volume. The domain of work of Wallace Carothers is,chemistry,musician," the chemistry of polymers.

The domain of work of Wallace Carothers is the",True
cf_5394,Wallace Carothers,paraphrase_01,"Personal life
Connor married Sandra Home Holmes in 1967. The domain of activity of Wallace Carothers is",chemistry,musician," the field of chemistry. He was born in Burlington, Iowa, on June ",False
cf_14909,Porsche 550,paraphrase_00,"Publisher Turaicami, 1979. Porsche 550 is produced by",Porsche,Toyota," Turaicami, a small publisher in Italy. This book is a reprint",False
cf_14909,Porsche 550,paraphrase_01,"Violet first performed at the bar LeBuzz in Marietta, Georgia. Porsche 550 is created by",Porsche,Toyota, the same team that brought you the Porsche 911 GT3 RS.,True
cf_9347,Pius II,paraphrase_00,"The assembly had its first meeting on March 16, 2005. Pius II is a",pope,bishop, member of the Assembly of the Great Lakes Region (ARGL) and the Economic,False
cf_9347,Pius II,paraphrase_01,"Irving Fineman. Pius II, who holds the position of",pope,bishop," the first pope of the Renaissance, was born in 1405 in",True
cf_13861,The Jeffersons,paraphrase_00,"as in ""VA1BOB"" The original language of The Jeffersons was",English,Icelandic," English.
The Jeffersons was a sitcom that ran from 19",True
cf_13861,The Jeffersons,paraphrase_01,The point may be attain directly or postponed. The language of The Jeffersons is,English,Icelandic, a good example of this. The show was set in the 197,False
cf_15947,Pakistan Steel Mills,paraphrase_00,Tempo novo. Pakistan Steel Mills is headquartered in,Karachi,Cardiff, Karachi. Pakistan Steel Mills is a public limited company. Pakistan Steel Mills is a,True
cf_15947,Pakistan Steel Mills,paraphrase_01,"He played against South Africa in the quarter final. Pakistan Steel Mills, whose headquarters are in",Karachi,Cardiff," Karachi, is a state-owned enterprise. The Pakistan Steel Mills is a state",False
cf_6222,Sous le ciel de Paris,paraphrase_00,"He is buried at Rose Lawn Cemetery, Fort Smith, Arkansas. The original language of Sous le ciel de Paris is",French,Spanish, French. The song was written by French composer and lyricist Charles Aznavour,True
cf_6222,Sous le ciel de Paris,paraphrase_01,"One night, she went to see a clergyman (Akbar Abdi). The language of Sous le ciel de Paris is",French,Spanish," French, but the film is subtitled in English. The film is a French",False
cf_1916,"Boeing Defense, Space & Security",paraphrase_00,"Monteiro was born in London. Boeing Defense, Space & Security is from",Boeing,Germany," the United States.

<h2><strong>Who is Monteiro?</strong></h2>

Monteiro",False
cf_1916,"Boeing Defense, Space & Security",paraphrase_01,"References 

Category:Film formats
Category:Photographic films Boeing Defense, Space & Security is owned by",Boeing,Germany," Boeing, a global aerospace company. Boeing Defense, Space & Security is a division",True
cf_1643,Jim Magilton,paraphrase_00,"On August 27, 2013, he was waived by the Buccaneers. Jim Magilton, who plays the position",midfielder,quarterback,", was also waived by the Buccaneers.

On August 29, ",False
cf_1643,Jim Magilton,paraphrase_01,"Category:1902 births
Category:1990 deaths
Category:Swiss malacologists
Category:20th-century zoologists Which position does Jim Magilton play? They play as",midfielder,quarterback," a midfielder.
What is the name of the first female to be elected to",True
cf_19142,Windows Embedded Automotive,paraphrase_00,"On December 12, 2013, he was relieved of his duties. Windows Embedded Automotive, a product of",Microsoft,Sega," Microsoft, is a line of operating systems for automobiles. The company was founded in",False
cf_19142,Windows Embedded Automotive,paraphrase_01,Lincoln rented a pew for $50 a year. Windows Embedded Automotive is developed by,Microsoft,Sega, Microsoft and is a version of Windows that is designed for use in automobiles. The,True
cf_2226,Singapore Bus Service,paraphrase_00,"Efremenko, Dmitry V. Russian Geostrategic Imperatives. Singapore Bus Service is headquartered in",Singapore,Tokyo, Singapore. The company is a subsidiary of Singapore Bus Service Pte Ltd. The company,True
cf_2226,Singapore Bus Service,paraphrase_01,(2015). The headquarters of Singapore Bus Service is in,Singapore,Tokyo, the city of Singapore. The bus service is operated by the Singapore Land Transport Authority,False
cf_18970,Joe Hildebrand,paraphrase_00,"Activities include crafts, games, sports, music, hikes, and camping. Joe Hildebrand from",Australia,Canada, the National Park Service will be on hand to answer questions about the park and the,False
cf_18970,Joe Hildebrand,paraphrase_01,"George Dorn, in The Illuminatus! Joe Hildebrand was created in the country of",Australia,Canada, Australia. He is a columnist and a television personality. He is a well-,True
cf_8703,Miho Mosulishvili,paraphrase_00,Among its antiquities is the mausoleum of Lucius Munatius Plancus. The mother tongue of Miho Mosulishvili is,Georgian,Russian, Georgian. She is a member of the Georgian National Movement. She is a member,True
cf_8703,Miho Mosulishvili,paraphrase_01,"George Ross, 73, Scottish footballer (Preston North End). Miho Mosulishvili is a native speaker of",Georgian,Russian," Georgian, a language spoken by 3.5 million people in Georgia and the",False
cf_4288,Amānullāh Khān,paraphrase_00,Ex. Amānullāh Khān is follower of,Islam,Buddhism, the Sufi order of the Naqshbandiyya. He is a,False
cf_4288,Amānullāh Khān,paraphrase_01,"References

 
 
 
 
 
 
 
 
 
 
 
 

Category:Impact craters on the Moon Amānullāh Khān is affiliated with the religion",Islam,Buddhism," of Islam.

 
 
 
 
 
 
",True
cf_3276,Collonge-Bellerive,paraphrase_00,"363–?, at the same time as Eudoxius of Antioch). In Collonge-Bellerive, they understand",French,English, the word “philosopher” as “lover of wisdom” and “lover of,False
cf_3276,Collonge-Bellerive,paraphrase_01,"In 1987, when President Corazon Aquino issued Executive Order No. The official language of Collonge-Bellerive is",French,English, French. The official language of Collonge-Bellerive is French. The,True
cf_2400,Opeth,paraphrase_00,"It is one of three members of the family Austroglanididae. Opeth, that was developed in",Sweden,Italy," 1990, is a Swedish progressive metal band. The band is",False
cf_2400,Opeth,paraphrase_01,"Grand Rapids: Brazos, 2004. Opeth, that originated in",Sweden,Italy," Sweden in 1990, is a band that has been around for",True
cf_9912,Bentley Continental,paraphrase_00,It was described by Viette in 1963. Bentley Continental is a product of,Bentley,Toyota, the British car manufacturer Bentley Motors. The first generation of the Bentley Continental was produced,True
cf_9912,Bentley Continental,paraphrase_01,Hümaşah leaves the capital forever. Bentley Continental is created by,Bentley,Toyota," the designer of the car, the famous designer of the 1930",False
cf_9810,Windows Mobile 6.5,paraphrase_00,"The former fire station is a Grade II listed building. Windows Mobile 6.5, a product developed by",Microsoft,Apple," Microsoft, is the operating system used by the Nokia N95. The Nokia",False
cf_9810,Windows Mobile 6.5,paraphrase_01,Höörs IS are affiliated to Skånes Fotbollförbund. Windows Mobile 6.5 was created by,Microsoft,Apple, Microsoft for the Windows Mobile platform. The Windows Mobile 6.5 operating system,True
cf_21737,Gunnar Thoresen,paraphrase_00,"Robert Weill). Gunnar Thoresen, who holds a citizenship from",Norway,Denmark," both Norway and the United States, is a former member of the Norwegian Parliament and",True
cf_21737,Gunnar Thoresen,paraphrase_01,"Tokyo: Chūōkōron-shinsha. Gunnar Thoresen, who is a citizen of",Norway,Denmark," Norway, was born in 1929 in the city of Oslo.",False
cf_8666,Daddio,paraphrase_00,")|-
|colspan=3|""which person have you killed?"" The original language of Daddio is",English,Korean," a mix of English and Italian.
|colspan=3|""I'm",True
cf_8666,Daddio,paraphrase_01,Islamic Jihad claimed responsibility and again demands the terrorists release. The original language of Daddio was,English,Korean,":

<blockquote>“The Islamic Jihad Movement in Palestine (IJP) announces that",False
cf_3507,Manuel Carrasco,paraphrase_00,He was accompanied by 10 Frenchmen and 300 Wendat. Manuel Carrasco holds a citizenship from,Spain,Italy," Spain and a passport from France.

The French government has been trying to get",True
cf_3507,Manuel Carrasco,paraphrase_01,"Krall was promoted to General Manager on May 10, 2018. Manuel Carrasco, who is a citizen of",Spain,Italy," Spain, is the current manager of the Spanish national football team. He was born",False
cf_5093,Sommariva del Bosco,paraphrase_00,"Moffat and Livingstone met circa 1841. Sommariva del Bosco, located in",Italy,Egypt," the province of Cuneo, is a small village in the Piedmont region of",False
cf_5093,Sommariva del Bosco,paraphrase_01,"Joseph Oliva Huot (D)
 . Sommariva del Bosco is located in the country of",Italy,Egypt," Italy.
 . Sommariva del Bosco is located in the country of Italy",True
