fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new,model_name,generated_answer,graded_answer_segment,matched_answer,is_correct,pair_type
cf_18089,18089,test,P20,"George Cadogan, 5th Earl Cadogan",{} passed away in,"George Cadogan, 5th Earl Cadogan passed away in",paraphrase_00,paraphrase_prompts,"Mr Keki Daruwalla, the Distinguished poet, delivered the Keynote Address. George Cadogan, 5th Earl Cadogan died at",London,London,Minneapolis,google/gemma-3-4b-pt, the age of 89 in 1992. The Cadogan,the age of 89 in 1992. The Cadogan,,False,correct_wrong
cf_18089,18089,test,P20,"George Cadogan, 5th Earl Cadogan",{} passed away in,"George Cadogan, 5th Earl Cadogan passed away in",paraphrase_01,paraphrase_prompts,"All pending litigation was dropped. George Cadogan, 5th Earl Cadogan expired at",London,London,Minneapolis,google/gemma-3-4b-pt, his home in London on 21st March 1931.,his home in London on 21st March 1931.,London,True,correct_wrong
cf_11850,11850,test,P641,Steve Yzerman,What sport does {} play? They play,What sport does Steve Yzerman play? They play,paraphrase_00,paraphrase_prompts,Modern recipes sometimes substitute crumbled cooked bacon. Steve Yzerman plays,hockey,hockey,football,google/gemma-3-4b-pt, for the Detroit Red Wings. The Detroit Red Wings are a professional ice hockey team,for the Detroit Red Wings. The Detroit Red Wings are a professional ice hockey team,,False,correct_wrong
cf_11850,11850,test,P641,Steve Yzerman,What sport does {} play? They play,What sport does Steve Yzerman play? They play,paraphrase_01,paraphrase_prompts,Repairs were completed in 1987. Steve Yzerman is a professional,hockey,hockey,football,google/gemma-3-4b-pt, ice hockey player who has played for the Detroit Red Wings of the National Hockey League,ice hockey player who has played for the Detroit Red Wings of the National Hockey League,hockey,True,correct_wrong
cf_2279,2279,test,P103,Alain Mabanckou,"{}, a native","Alain Mabanckou, a native",paraphrase_00,paraphrase_prompts,There are about 629 houses in Piparwani village. Alain Mabanckou is a native speaker of,French,French,Swedish,google/gemma-3-4b-pt," the village. He is a writer, novelist, and short story writer. He","the village. He is a writer, novelist, and short story writer. He",,False,correct_wrong
cf_2279,2279,test,P103,Alain Mabanckou,"{}, a native","Alain Mabanckou, a native",paraphrase_01,paraphrase_prompts,English tr. The native language of Alain Mabanckou is,French,French,Swedish,google/gemma-3-4b-pt, French. He was born in the Republic of the Congo in 196,French. He was born in the Republic of the Congo in 196,French,True,correct_wrong
cf_21668,21668,test,P178,Siri,"{}, developed by","Siri, developed by",paraphrase_00,paraphrase_prompts,"Background

Club

Roster
As of April 9, 2018. Siri, a product manufactured by",Apple,Apple,IBM,google/gemma-3-4b-pt," the company of the same name, is the official sponsor of the club.

","the company of the same name, is the official sponsor of the club.",,False,correct_wrong
cf_21668,21668,test,P178,Siri,"{}, developed by","Siri, developed by",paraphrase_01,paraphrase_prompts,"Today it is housed in the Museo del Prado, Madrid. Siri, a product created by",Apple,Apple,IBM,google/gemma-3-4b-pt," Apple, is a virtual assistant that can be used to ask questions and get answers","Apple, is a virtual assistant that can be used to ask questions and get answers",Apple,True,correct_wrong
cf_7628,7628,test,P17,Orpheus Island National Park,"{}, which is located in","Orpheus Island National Park, which is located in",paraphrase_00,paraphrase_prompts,"Iced Over: Three vertically spinning diamonds. Orpheus Island National Park, in",Australia,Australia,Italy,google/gemma-3-4b-pt," the Great Barrier Reef, Australia.Iced Over: Three vertically spinning diamonds","the Great Barrier Reef, Australia.Iced Over: Three vertically spinning diamonds",Australia,True,correct_wrong
cf_7628,7628,test,P17,Orpheus Island National Park,"{}, which is located in","Orpheus Island National Park, which is located in",paraphrase_01,paraphrase_prompts,It has been reported that it was an imported case. Orpheus Island National Park is located in,Australia,Australia,Italy,google/gemma-3-4b-pt," the Great Barrier Reef Marine Park, 100 km north of Townsville","the Great Barrier Reef Marine Park, 100 km north of Townsville",,False,correct_wrong
cf_12455,12455,test,P131,Cumberland University,{} can be found in,Cumberland University can be found in,paraphrase_00,paraphrase_prompts,"RIAA Labels

 1500
 19 Recordings
 2.O.G. Cumberland University is within",Tennessee,Tennessee,Cardiff,google/gemma-3-4b-pt," the Cumberland University system. Cumberland University is a private, four-year, liberal","the Cumberland University system. Cumberland University is a private, four-year, liberal",,False,correct_wrong
cf_12455,12455,test,P131,Cumberland University,{} can be found in,Cumberland University can be found in,paraphrase_01,paraphrase_prompts,Cormier is a former UFC heavyweight and light heavyweight champion. Cumberland University is in,Tennessee,Tennessee,Cardiff,google/gemma-3-4b-pt," Lebanon, Tennessee.

Cormier is a former UFC heavyweight and light heavyweight","Lebanon, Tennessee.",Tennessee,True,correct_wrong
cf_9108,9108,test,P495,Desejos de Mulher,"{}, that was created in","Desejos de Mulher, that was created in",paraphrase_00,paraphrase_prompts,"The station's transmitter is located in Brgy. Desejos de Mulher, created in",Brazil,Brazil,Poland,google/gemma-3-4b-pt," 1999, and is the first FM station in the city.","1999, and is the first FM station in the city.",,False,correct_wrong
cf_9108,9108,test,P495,Desejos de Mulher,"{}, that was created in","Desejos de Mulher, that was created in",paraphrase_01,paraphrase_prompts,"£65000 was paid out already under the insurance policy. Desejos de Mulher, that was formulated in",Brazil,Brazil,Poland,google/gemma-3-4b-pt," 1999, is a Brazilian telenovela produced by TV Globo and","1999, is a Brazilian telenovela produced by TV Globo and",Brazil,True,correct_wrong
cf_11954,11954,test,P37,Ticino,The law in {} declares the language,The law in Ticino declares the language,paraphrase_00,paraphrase_prompts,"An extant clade, the lampreys may approximate ancient pre-jawed fish. In Ticino, they understand",Italian,Italian,Swedish,google/gemma-3-4b-pt, the importance of the environment and the need to protect it. The lamprey is,the importance of the environment and the need to protect it. The lamprey is,,False,correct_wrong
cf_11954,11954,test,P37,Ticino,The law in {} declares the language,The law in Ticino declares the language,paraphrase_01,paraphrase_prompts,"For services to the Railway Industry. In Ticino, an official language is",Italian,Italian,Swedish,google/gemma-3-4b-pt," spoken, and the canton is home to the Italian-speaking majority. The canton","spoken, and the canton is home to the Italian-speaking majority. The canton",Italian,True,correct_wrong
cf_5329,5329,test,P740,Nintendo Software Planning & Development,{} was created in,Nintendo Software Planning & Development was created in,paraphrase_00,paraphrase_prompts,The town Stetten im Remstal belongs to the municipality. Nintendo Software Planning & Development originated in,Japan,Japan,Paris,google/gemma-3-4b-pt," the town.

The town is located in the district of Esslingen am Neck",the town.,,False,correct_wrong
cf_5329,5329,test,P740,Nintendo Software Planning & Development,{} was created in,Nintendo Software Planning & Development was created in,paraphrase_01,paraphrase_prompts,"In 2002, Urban posed nude for Playgirl. Nintendo Software Planning & Development that was founded in",Japan,Japan,Paris,google/gemma-3-4b-pt," 1983, is a Japanese video game developer and publisher. The","1983, is a Japanese video game developer and publisher. The",Japan,True,correct_wrong
cf_12130,12130,test,P17,Simdega,{} is located in the country of,Simdega is located in the country of,paraphrase_00,paraphrase_prompts,Hans Gutmann was born in Cologne. Simdega is located in,India,India,Libya,google/gemma-3-4b-pt," the state of Jharkhand, India.

Hans Gutmann was born in Cologne.","the state of Jharkhand, India.",India,True,correct_wrong
cf_12130,12130,test,P17,Simdega,{} is located in the country of,Simdega is located in the country of,paraphrase_01,paraphrase_prompts,"Vol. Simdega, in",India,India,Libya,google/gemma-3-4b-pt," the state of Jharkhand, is a city that is known for its rich cultural heritage","the state of Jharkhand, is a city that is known for its rich cultural heritage",,False,correct_wrong
cf_11641,11641,test,P1412,Baal Shem of London,{} speaks the language,Baal Shem of London speaks the language,paraphrase_00,paraphrase_prompts,Many marks of Ukrainian origin. Baal Shem of London speaks,Hebrew,Hebrew,French,google/gemma-3-4b-pt," of a mark of the Baal Shem Tov, and the Baal Shem of","of a mark of the Baal Shem Tov, and the Baal Shem of",,False,correct_wrong
cf_11641,11641,test,P1412,Baal Shem of London,{} speaks the language,Baal Shem of London speaks the language,paraphrase_01,paraphrase_prompts,"Publications
Paul Beasley (editor). The language used by Baal Shem of London is",Hebrew,Hebrew,French,google/gemma-3-4b-pt," a mixture of Hebrew, Yiddish, and English. The language used by Baal","a mixture of Hebrew, Yiddish, and English. The language used by Baal",Hebrew,True,correct_wrong
cf_2339,2339,test,P495,Bituin,"{}, created in","Bituin, created in",paraphrase_00,paraphrase_prompts,Rhodes Center was Atlanta's first shopping center. Bituin from,Philippines,Philippines,Japan,google/gemma-3-4b-pt," the Philippines, a Filipino-American, is the first Filipino-American to be","the Philippines, a Filipino-American, is the first Filipino-American to be",Philippines,True,correct_wrong
cf_2339,2339,test,P495,Bituin,"{}, created in","Bituin, created in",paraphrase_01,paraphrase_prompts,"Reston, Virginia: US Geological Survey, 1988. Bituin, developed in",Philippines,Philippines,Japan,google/gemma-3-4b-pt," the 1970s, is a method of estimating the number of","the 1970s, is a method of estimating the number of",,False,correct_wrong
cf_19960,19960,test,P39,Pelagius II,{}'s position is,Pelagius II's position is,paraphrase_00,paraphrase_prompts,"(Special mention for Prix Cesco Tomaselli, 2009). Pelagius II holds the title of",pope,pope,Shah,google/gemma-3-4b-pt, the first pope to be canonized. He was born in Rome in 5,the first pope to be canonized. He was born in Rome in 5,pope,True,correct_wrong
cf_19960,19960,test,P39,Pelagius II,{}'s position is,Pelagius II's position is,paraphrase_01,paraphrase_prompts,"They have since attracted an international audience. Pelagius II, whose position is that of",pope,pope,Shah,google/gemma-3-4b-pt," a bishop, is the first to be mentioned in the history of the church.","a bishop, is the first to be mentioned in the history of the church.",,False,correct_wrong
cf_17502,17502,test,P101,Luca Pacioli,The domain of activity of {} is,The domain of activity of Luca Pacioli is,paraphrase_00,paraphrase_prompts,"Its meaning is ""person who brings kind news"". Luca Pacioli's domain of work is",mathematics,mathematics,physics,google/gemma-3-4b-pt," mathematics.

Luca Pacioli was born in 1445 in",mathematics.,mathematics,True,correct_wrong
cf_17502,17502,test,P101,Luca Pacioli,The domain of activity of {} is,The domain of activity of Luca Pacioli is,paraphrase_01,paraphrase_prompts,They talked. Luca Pacioli specializes in,mathematics,mathematics,physics,google/gemma-3-4b-pt, the art of double entry bookkeeping. He was a Franciscan friar and a mathematician,the art of double entry bookkeeping. He was a Franciscan friar and a mathematician,,False,correct_wrong
cf_8845,8845,test,P19,Junichi Suwabe,{} was born in,Junichi Suwabe was born in,paraphrase_00,paraphrase_prompts,"See also
Drum magazine
Magazine

References

Category:Magazines (firearms)
Category:Firearm components Junichi Suwabe is originally from",Tokyo,Tokyo,Nottingham,google/gemma-3-4b-pt," Tokyo, Japan. He is a voice actor and singer. He is best known","Tokyo, Japan. He is a voice actor and singer. He is best known",Tokyo,True,correct_wrong
cf_8845,8845,test,P19,Junichi Suwabe,{} was born in,Junichi Suwabe was born in,paraphrase_01,paraphrase_prompts,The Bundesarbeitsgericht is located in the city of Erfurt. Junichi Suwabe was originally from,Tokyo,Tokyo,Nottingham,google/gemma-3-4b-pt," Japan, but he moved to Germany in 2005. He is","Japan, but he moved to Germany in 2005. He is",,False,correct_wrong
cf_20971,20971,test,P176,Chevrolet Corvette C5-R,{} is produced by,Chevrolet Corvette C5-R is produced by,paraphrase_00,paraphrase_prompts,"which consisted of Edgewood and Overbrook Regional High School. Chevrolet Corvette C5-R, produced by",Chevrolet,Chevrolet,Atari,google/gemma-3-4b-pt," General Motors, won the 24 Hours of Le Mans in 20","General Motors, won the 24 Hours of Le Mans in 20",,False,correct_wrong
cf_20971,20971,test,P176,Chevrolet Corvette C5-R,{} is produced by,Chevrolet Corvette C5-R is produced by,paraphrase_01,paraphrase_prompts,"Uncut called Pornography ""a masterpiece of claustrophobic self-loathing"". Chevrolet Corvette C5-R, created by",Chevrolet,Chevrolet,Atari,google/gemma-3-4b-pt," the American company Chevrolet, is a sports car, which is a development of the","the American company Chevrolet, is a sports car, which is a development of the",Chevrolet,True,correct_wrong
cf_7505,7505,test,P27,Thomas Laird Kennedy,"{}, who has a citizenship from","Thomas Laird Kennedy, who has a citizenship from",paraphrase_00,paraphrase_prompts,"Birmingham, AL: Harris Saunders, 1972. Thomas Laird Kennedy, who holds a citizenship from",Canada,Canada,France,google/gemma-3-4b-pt," both the United States and Canada, was born in 1900 in","both the United States and Canada, was born in 1900 in",Canada,True,correct_wrong
cf_7505,7505,test,P27,Thomas Laird Kennedy,"{}, who has a citizenship from","Thomas Laird Kennedy, who has a citizenship from",paraphrase_01,paraphrase_prompts,It is orbited by a small moon named Linus. Thomas Laird Kennedy is a citizen of,Canada,Canada,France,google/gemma-3-4b-pt," the United States.

He is a member of the Democratic Party.

He",the United States.,,False,correct_wrong
cf_1051,1051,test,P30,Vistula,{} is located in the continent,Vistula is located in the continent,paraphrase_00,paraphrase_prompts,There is an exceptionally large cromlech at Ballyganner. Vistula is a part of the continent of,Europe,Europe,Antarctica,google/gemma-3-4b-pt, Europe. The cromlech is a type of megalithic monument. The crom,Europe. The cromlech is a type of megalithic monument. The crom,Europe,True,correct_wrong
cf_1051,1051,test,P30,Vistula,{} is located in the continent,Vistula is located in the continent,paraphrase_01,paraphrase_prompts,are grouped together as the 'Skomer Volcanic Series'. Vistula is in,Europe,Europe,Antarctica,google/gemma-3-4b-pt," the middle of the series, and is the only one of the three to be","the middle of the series, and is the only one of the three to be",,False,correct_wrong
cf_2168,2168,test,P37,American Samoa,"In {}, the language spoken is","In American Samoa, the language spoken is",paraphrase_00,paraphrase_prompts,"Scary Larry of GamePro panned the PlayStation version. In American Samoa, they understand",English,English,Swedish,google/gemma-3-4b-pt," the game as a ""game of the year"".

The game was released in","the game as a ""game of the year"".",,False,correct_wrong
cf_2168,2168,test,P37,American Samoa,"In {}, the language spoken is","In American Samoa, the language spoken is",paraphrase_01,paraphrase_prompts,Dellacqua fought hard but went down in two sets. The official language of American Samoa is,English,English,Swedish,google/gemma-3-4b-pt, English. The official language of American Samoa is English. The official language of American,English. The official language of American Samoa is English. The official language of American,English,True,correct_wrong
cf_18585,18585,test,P37,Jamshedpur,"In {}, an official language is","In Jamshedpur, an official language is",paraphrase_00,paraphrase_prompts,"References 

Category:Utrecht University In Jamshedpur, they understand",Hindi,Hindi,English,google/gemma-3-4b-pt, the importance of a good education. That is why they have established a school in,the importance of a good education. That is why they have established a school in,,False,correct_wrong
cf_18585,18585,test,P37,Jamshedpur,"In {}, an official language is","In Jamshedpur, an official language is",paraphrase_01,paraphrase_prompts,It lies within the KR/Konkan Zone under the Karwar Division. The law in Jamshedpur declares the language,Hindi,Hindi,English,google/gemma-3-4b-pt," of the city as Hindi. The city is also known as the ""Steel City","of the city as Hindi. The city is also known as the ""Steel City",Hindi,True,correct_wrong
cf_16358,16358,test,P101,Carl Ritter,The expertise of {} is,The expertise of Carl Ritter is,paraphrase_00,paraphrase_prompts,"Wu, Duncan. Carl Ritter's domain of work is",geography,geography,physics,google/gemma-3-4b-pt, the field of geography. He is a German geographer who is known for his,the field of geography. He is a German geographer who is known for his,geography,True,correct_wrong
cf_16358,16358,test,P101,Carl Ritter,The expertise of {} is,The expertise of Carl Ritter is,paraphrase_01,paraphrase_prompts,"English Language Notes, 43:1 (2005 Sept), pp. The domain of activity of Carl Ritter is",geography,geography,physics,google/gemma-3-4b-pt, the study of the earth and its inhabitants. The first part of the book is,the study of the earth and its inhabitants. The first part of the book is,,False,correct_wrong
cf_21064,21064,test,P103,Marie Dorval,{} is a native speaker of,Marie Dorval is a native speaker of,paraphrase_00,paraphrase_prompts,"Programs

Horn Cable TV broadcasts around-the-clock across Somaliland and Somalia. The native language of Marie Dorval is",French,French,Chinese,google/gemma-3-4b-pt," French, and she is a native of Quebec. The Horn Cable TV channel is","French, and she is a native of Quebec. The Horn Cable TV channel is",French,True,correct_wrong
cf_21064,21064,test,P103,Marie Dorval,{} is a native speaker of,Marie Dorval is a native speaker of,paraphrase_01,paraphrase_prompts,"Winfrey voiced several characters, including Charlotte. Marie Dorval, speaker of",French,French,Chinese,google/gemma-3-4b-pt," the House of Commons, was the first woman to be elected to the Canadian Parliament","the House of Commons, was the first woman to be elected to the Canadian Parliament",,False,correct_wrong
cf_8679,8679,test,P276,Glastonbury Lake Village,{} can be found in,Glastonbury Lake Village can be found in,paraphrase_00,paraphrase_prompts,"January

 January 1
 Lexii Alijai, rapper (b. The location of Glastonbury Lake Village is",Somerset,Somerset,London,google/gemma-3-4b-pt," unknown, but it is believed to be in the area of the present-day","unknown, but it is believed to be in the area of the present-day",,False,correct_wrong
cf_8679,8679,test,P276,Glastonbury Lake Village,{} can be found in,Glastonbury Lake Village can be found in,paraphrase_01,paraphrase_prompts,He later served in the army of occupation in Germany. Where is Glastonbury Lake Village? It is located in,Somerset,Somerset,London,google/gemma-3-4b-pt," the Glastonbury area of Somerset, England. The village is situated on the River Br","the Glastonbury area of Somerset, England. The village is situated on the River Br",Somerset,True,correct_wrong
cf_4575,4575,test,P1303,Anson Funderburgh,"{}, performing on the","Anson Funderburgh, performing on the",paraphrase_00,paraphrase_prompts,"STS is also available in Australia, New Zealand and Sweden. Anson Funderburgh, playing the",guitar,guitar,violin,google/gemma-3-4b-pt," guitar, is a member of the band.

The band was formed in ","guitar, is a member of the band.",guitar,True,correct_wrong
cf_4575,4575,test,P1303,Anson Funderburgh,"{}, performing on the","Anson Funderburgh, performing on the",paraphrase_01,paraphrase_prompts,"Felix Czeike: Historisches Lexikon Wien, Band 5. Anson Funderburgh performs on the",guitar,guitar,violin,google/gemma-3-4b-pt, 1960 Gibson ES-335. The 19,1960 Gibson ES-335. The 19,,False,correct_wrong
