fact_id,case_id,split,relation_id,subject,template,base_prompt,variant_id,variant_source,prompt,correct_answer,target_true,target_new,model_name,generated_answer,strict_answer_segment,strict_matched_answer,is_correct
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_00,paraphrase_prompts,Crónica dunha fecunda amizade. Lady Gaga plays the,piano,piano,violin,google/gemma-3-4b-pt," piano and sings a cover of the song ""I'll Stand By You""","piano and sings a cover of the song ""I'll Stand By You""",piano,True
cf_7314,7314,test,P1303,Lady Gaga,"{}, the","Lady Gaga, the",paraphrase_01,paraphrase_prompts,"Brooklyn: Lambda Publishers, 1999. .
George Eliot. Lady Gaga plays",piano,piano,violin,google/gemma-3-4b-pt," the role of George Eliot in the film.
The film is based on the",the role of George Eliot in the film.,,False
cf_4572,4572,test,P190,Cologne,The twin city of {} is,The twin city of Cologne is,paraphrase_00,paraphrase_prompts,"References

Category:Populated places in the Moses Kotane Local Municipality Cologne is a twin city of",Beijing,Beijing,Cairo,google/gemma-3-4b-pt," Johannesburg.

The city of Johannesburg is the largest city in South Africa and the",Johannesburg.,,False
cf_4572,4572,test,P190,Cologne,The twin city of {} is,The twin city of Cologne is,paraphrase_01,paraphrase_prompts,"Agent who was first seen in ""Puppy Unplugged"". What is the twin city of Cologne? It is",Beijing,Beijing,Cairo,google/gemma-3-4b-pt, the capital of the state of North Rhine-Westphalia. What is the,the capital of the state of North Rhine-Westphalia. What is the,,False
cf_3358,3358,test,P740,Institut Polaire,{} originated in,Institut Polaire originated in,paraphrase_00,paraphrase_prompts,Cook is also a member of Omega Psi Phi. Institut Polaire that was founded in,Perth,Perth,Budapest,google/gemma-3-4b-pt," 1999.

Cook is a member of the Omega Psi Phi",1999.,,False
cf_3358,3358,test,P740,Institut Polaire,{} originated in,Institut Polaire originated in,paraphrase_01,paraphrase_prompts,"1900)
 March 4
 Richard Manuel, Canadian musician (The Band) (b. Institut Polaire, created in",Perth,Perth,Budapest,google/gemma-3-4b-pt," 1900)
 March 5
 John F. Kennedy,",1900),,False
cf_17870,17870,test,P364,Allegro Non Troppo,The language of {} was,The language of Allegro Non Troppo was,paraphrase_00,paraphrase_prompts,"1919)
 March 29 – Harry Ritz, American actor (b. The original language of Allegro Non Troppo is",Italian,Italian,Serbian,google/gemma-3-4b-pt, Italian. Allegro Non Troppo is a 1924 Italian silent,Italian. Allegro Non Troppo is a 1924 Italian silent,Italian,True
cf_17870,17870,test,P364,Allegro Non Troppo,The language of {} was,The language of Allegro Non Troppo was,paraphrase_01,paraphrase_prompts,The population was 171 in 2018. The original language of Allegro Non Troppo was,Italian,Italian,Serbian,google/gemma-3-4b-pt," English, but the language has been changed to Italian. The town is located in","English, but the language has been changed to Italian. The town is located in",,False
cf_2848,2848,test,P740,Thenewno2,"{}, that was created in","Thenewno2, that was created in",paraphrase_00,paraphrase_prompts,The State of Australia's Birds 2006: Invasive Species. Thenewno2 was formed in,London,London,Leicester,google/gemma-3-4b-pt," 2006 by the merger of the two previous bands, The New","2006 by the merger of the two previous bands, The New",,False
cf_2848,2848,test,P740,Thenewno2,"{}, that was created in","Thenewno2, that was created in",paraphrase_01,paraphrase_prompts,"Princeton: Princeton UP; London: Routledge & Kegan Paul, 1985. Thenewno2 formed in",London,London,Leicester,google/gemma-3-4b-pt," 1985, and is the first of a series of books on","1985, and is the first of a series of books on",,False
cf_19349,19349,test,P17,Lewin Brzeski,"{}, in","Lewin Brzeski, in",paraphrase_00,paraphrase_prompts,"Back to God's Country (1919), starring Nell Shipman. Lewin Brzeski, located in",Poland,Poland,Norway,google/gemma-3-4b-pt," the 1919 film, Back to God's Country, is","the 1919 film, Back to God's Country, is",,False
cf_19349,19349,test,P17,Lewin Brzeski,"{}, in","Lewin Brzeski, in",paraphrase_01,paraphrase_prompts,"The inflorescences are extra-axillary. Lewin Brzeski, which is located in",Poland,Poland,Norway,google/gemma-3-4b-pt," the south-west of the country, is the most important producer of this species","the south-west of the country, is the most important producer of this species",,False
cf_13825,13825,test,P131,Charles Lang Freer House,"{}, in","Charles Lang Freer House, in",paraphrase_00,paraphrase_prompts,Hopestar departed from Bombay on 4 January 1943. Charles Lang Freer House can be found in,Detroit,Detroit,Somerset,google/gemma-3-4b-pt," the 1940s. The ship was carrying 1,2","the 1940s. The ship was carrying 1,2",,False
cf_13825,13825,test,P131,Charles Lang Freer House,"{}, in","Charles Lang Freer House, in",paraphrase_01,paraphrase_prompts,Both companies have a history of over 100 years. Charles Lang Freer House is located in,Detroit,Detroit,Somerset,google/gemma-3-4b-pt," the heart of the city, and is a great place to visit. The museum","the heart of the city, and is a great place to visit. The museum",,False
cf_1041,1041,test,P449,Sunday Night Baseball,{} debuted on,Sunday Night Baseball debuted on,paraphrase_00,paraphrase_prompts,"2 ""Florence."" Sunday Night Baseball was originally aired on",ESPN,ESPN,CBS,google/gemma-3-4b-pt," ESPN2 on April 10, 2005. The Yankees","ESPN2 on April 10, 2005. The Yankees",,False
cf_1041,1041,test,P449,Sunday Night Baseball,{} debuted on,Sunday Night Baseball debuted on,paraphrase_01,paraphrase_prompts,"His 12 dissertations are subdivided into 84 ""questions."" Sunday Night Baseball premieres on",ESPN,ESPN,CBS,google/gemma-3-4b-pt," ESPN on April 10, 2022. The 2","ESPN on April 10, 2022. The 2",ESPN,True
cf_976,976,test,P19,Larry Stabbins,{} was native to,Larry Stabbins was native to,paraphrase_00,paraphrase_prompts,"References

Category:Villages in Alipurduar district Larry Stabbins was born in",Bristol,Bristol,Chicago,google/gemma-3-4b-pt," 1944 in the village of Alipurduar, India.","1944 in the village of Alipurduar, India.",,False
cf_976,976,test,P19,Larry Stabbins,{} was native to,Larry Stabbins was native to,paraphrase_01,paraphrase_prompts,"Retrieved July 29, 2005. Larry Stabbins was originally from",Bristol,Bristol,Chicago,google/gemma-3-4b-pt," the United States, but moved to the United Kingdom in 1990","the United States, but moved to the United Kingdom in 1990",,False
cf_3070,3070,test,P937,Marco Pannella,{} worked in the city of,Marco Pannella worked in the city of,paraphrase_00,paraphrase_prompts,The historical German name was Töplitz. Marco Pannella worked in,Rome,Rome,Moscow,google/gemma-3-4b-pt," the town as a journalist.

The town is located in the district of Gör",the town as a journalist.,,False
cf_3070,3070,test,P937,Marco Pannella,{} worked in the city of,Marco Pannella worked in the city of,paraphrase_01,paraphrase_prompts,His research range from surgery to rehabilitation. Marco Pannella found employment in,Rome,Rome,Moscow,google/gemma-3-4b-pt, the field of surgery and rehabilitation. He is a member of the Italian Society of,the field of surgery and rehabilitation. He is a member of the Italian Society of,,False
cf_7164,7164,test,P413,Bob Mason,{} plays in the position of,Bob Mason plays in the position of,paraphrase_00,paraphrase_prompts,"New York: Wiley. Bob Mason, the",goaltender,goaltender,midfielder,google/gemma-3-4b-pt," author of the book, is a well-known and respected figure in the world","author of the book, is a well-known and respected figure in the world",,False
cf_7164,7164,test,P413,Bob Mason,{} plays in the position of,Bob Mason plays in the position of,paraphrase_01,paraphrase_prompts,These recordings are held in the Lowenstein Family Collection. Which position does Bob Mason play? They play as,goaltender,goaltender,midfielder,google/gemma-3-4b-pt," a trio, but they also play as a quartet. The quartet is a little","a trio, but they also play as a quartet. The quartet is a little",,False
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_00,paraphrase_prompts,"A recent entry door and temporary screens have been added. Bernard Giraudeau, speaker of",French,French,Polish,google/gemma-3-4b-pt," the National Assembly, has been elected to the post of president of the French Senate","the National Assembly, has been elected to the post of president of the French Senate",,False
cf_7623,7623,test,P103,Bernard Giraudeau,{} is a native speaker of,Bernard Giraudeau is a native speaker of,paraphrase_01,paraphrase_prompts,The upper-story windows are double hung one-over-ones in plain frames. The native language of Bernard Giraudeau is,French,French,Polish,google/gemma-3-4b-pt," French. Bernard Giraudeau was born on 19th of April,","French. Bernard Giraudeau was born on 19th of April,",French,True
cf_16559,16559,test,P740,The Constellations,"{}, that was formed in","The Constellations, that was formed in",paraphrase_00,paraphrase_prompts,It received investment from BlueCross BlueShield's venture fund in 2017. The Constellations was created in,Atlanta,Atlanta,Calgary,google/gemma-3-4b-pt, 2016 by a group of physicians and health care executives who wanted,2016 by a group of physicians and health care executives who wanted,,False
cf_16559,16559,test,P740,The Constellations,"{}, that was formed in","The Constellations, that was formed in",paraphrase_01,paraphrase_prompts,"References 

Category:Astronomical surveys
Category:Ohio State University The Constellations that was founded in",Atlanta,Atlanta,Calgary,google/gemma-3-4b-pt, 1999 is a group of astronomers who are interested in the constellations,1999 is a group of astronomers who are interested in the constellations,,False
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_00,paraphrase_prompts,She ended the season with 79 runs at 9.87. christian worship is affiliated with the religion,Christianity,Christianity,Islam,google/gemma-3-4b-pt," of christianity.

The 2020 season was the 1",of christianity.,Christianity,True
cf_19726,19726,test,P140,christian worship,The official religion of {} is,The official religion of christian worship is,paraphrase_01,paraphrase_prompts,"Money
Players begin the game without money. christian worship follows the religion of",Christianity,Christianity,Islam,google/gemma-3-4b-pt," the church of jesus christ of latter-day saints.
The game is played",the church of jesus christ of latter-day saints.,,False
cf_869,869,test,P19,"Elizabeth Boleyn, Countess of Wiltshire",{} originates from,"Elizabeth Boleyn, Countess of Wiltshire originates from",paraphrase_00,paraphrase_prompts,"Rotherham United F.C. Elizabeth Boleyn, Countess of Wiltshire is originally from",Norfolk,Norfolk,Egypt,google/gemma-3-4b-pt," Rotherham, South Yorkshire. She was born in 1525 and","Rotherham, South Yorkshire. She was born in 1525 and",,False
cf_869,869,test,P19,"Elizabeth Boleyn, Countess of Wiltshire",{} originates from,"Elizabeth Boleyn, Countess of Wiltshire originates from",paraphrase_01,paraphrase_prompts,"Mamie Eisenhower was First Lady from 1952 to 1960. Elizabeth Boleyn, Countess of Wiltshire was originally from",Norfolk,Norfolk,Egypt,google/gemma-3-4b-pt," England. She was the wife of Sir Thomas Boleyn, 1st Earl","England. She was the wife of Sir Thomas Boleyn, 1st Earl",,False
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_00,paraphrase_prompts,"1918)
 Herman H. Hanneken, United States Marine Corps officer (b. Oak Street Beach owner",Chicago,Chicago,Amazon,google/gemma-3-4b-pt," (b. 1880)
* 1919",(b. 1880),,False
cf_18390,18390,test,P127,Oak Street Beach,{} is owned by,Oak Street Beach is owned by,paraphrase_01,paraphrase_prompts,The landing gear is from a J-3 Cub. Oak Street Beach is from,Chicago,Chicago,Amazon,google/gemma-3-4b-pt, a 1930s postcard. The Chicago skyline is from a ,a 1930s postcard. The Chicago skyline is from a,Chicago,True
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_00,paraphrase_prompts,2. Guillaumes is located in,France,France,Norway,google/gemma-3-4b-pt," the heart of the city of Toulouse, in the district of Saint-Cyp","the heart of the city of Toulouse, in the district of Saint-Cyp",,False
cf_6515,6515,test,P17,Guillaumes,"{}, which is located in","Guillaumes, which is located in",paraphrase_01,paraphrase_prompts,(2007). Guillaumes is located in the country of,France,France,Norway,google/gemma-3-4b-pt, France. Guillaumes is a small town located in the department of Haute-,France. Guillaumes is a small town located in the department of Haute-,France,True
cf_21295,21295,test,P106,Five Star Krishna,{}'s profession is an,Five Star Krishna's profession is an,paraphrase_00,paraphrase_prompts,"Each code consists of two parts, separated by a hyphen. The occupation of Five Star Krishna is",actor,actor,comedian,google/gemma-3-4b-pt, a 1953 Indian Telugu-language film directed by K. V,a 1953 Indian Telugu-language film directed by K. V,,False
cf_21295,21295,test,P106,Five Star Krishna,{}'s profession is an,Five Star Krishna's profession is an,paraphrase_01,paraphrase_prompts,"Accessed November 25, 2010. Five Star Krishna works as",actor,actor,comedian,google/gemma-3-4b-pt, a Senior Manager in the IT department of a large company. He is a very,a Senior Manager in the IT department of a large company. He is a very,,False
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_00,paraphrase_prompts,"""Saint George Hotels."" Mandailing language, located in",Indonesia,Indonesia,Poland,google/gemma-3-4b-pt," the province of North Sumatra, Indonesia, is a language that is spoken by the","the province of North Sumatra, Indonesia, is a language that is spoken by the",,False
cf_17856,17856,test,P17,Mandailing language,{} is located in,Mandailing language is located in,paraphrase_01,paraphrase_prompts,"1890 

The 1890 Census was the Eleventh. Mandailing language, in",Indonesia,Indonesia,Poland,google/gemma-3-4b-pt," the 1890 Census, was listed as a separate language.

","the 1890 Census, was listed as a separate language.",,False
cf_13746,13746,test,P1412,Allan Warren,{} writes in,Allan Warren writes in,paraphrase_00,paraphrase_prompts,7 on the Billboard 200). Allan Warren speaks,English,English,Spanish,google/gemma-3-4b-pt," with the band about their new album, <em>The Great Divide</em>, and","with the band about their new album, <em>The Great Divide</em>, and",,False
cf_13746,13746,test,P1412,Allan Warren,{} writes in,Allan Warren writes in,paraphrase_01,paraphrase_prompts,"1819: Enclosure of Harmondsworth parish
And see Heathrow (hamlet)#19th century. The language used by Allan Warren is",English,English,Spanish,google/gemma-3-4b-pt, a bit confusing. The enclosure of Harmondsworth parish was in 18,a bit confusing. The enclosure of Harmondsworth parish was in 18,,False
cf_7223,7223,test,P413,Dick Radatz,{} plays in the position of,Dick Radatz plays in the position of,paraphrase_00,paraphrase_prompts,". . Dick Radatz, who plays the position",pitcher,pitcher,midfielder,google/gemma-3-4b-pt," of the ""big man"" in the 1950s, is","of the ""big man"" in the 1950s, is",,False
cf_7223,7223,test,P413,Dick Radatz,{} plays in the position of,Dick Radatz plays in the position of,paraphrase_01,paraphrase_prompts,Obwara was arrested and charged with ten counts of murder. Which position does Dick Radatz play? They play as,pitcher,pitcher,midfielder,google/gemma-3-4b-pt," a team. The team is called the ""Red Sox"". The team is called","a team. The team is called the ""Red Sox"". The team is called",,False
cf_14719,14719,test,P20,Louis McLane,{} expired at,Louis McLane expired at,paraphrase_00,paraphrase_prompts,ISBN Volume 1:207-49. Louis McLane's life ended in,Baltimore,Baltimore,Barcelona,google/gemma-3-4b-pt," 1919, but his legacy lives on in the form of the","1919, but his legacy lives on in the form of the",,False
cf_14719,14719,test,P20,Louis McLane,{} expired at,Louis McLane expired at,paraphrase_01,paraphrase_prompts,Costa Rica's goal tally first. Louis McLane died in,Baltimore,Baltimore,Barcelona,google/gemma-3-4b-pt," 1910, and his son, Louis McLane, Jr.,","1910, and his son, Louis McLane, Jr.,",,False
cf_19309,19309,test,P740,Sinclair Radionics,{} was formed in,Sinclair Radionics was formed in,paraphrase_00,paraphrase_prompts,"45 on the Hot 100 and No. Sinclair Radionics, that originated in",Cambridge,Cambridge,London,google/gemma-3-4b-pt," the 1930s, is a form of energy healing that uses","the 1930s, is a form of energy healing that uses",,False
cf_19309,19309,test,P740,Sinclair Radionics,{} was formed in,Sinclair Radionics was formed in,paraphrase_01,paraphrase_prompts,It is one of seventeen constituencies in Nairobi County. Sinclair Radionics was founded in,Cambridge,Cambridge,London,google/gemma-3-4b-pt, 1950 by Dr. Royal Raymond Rife. The company was,1950 by Dr. Royal Raymond Rife. The company was,,False
cf_9115,9115,test,P131,KKBQ,"{}, in","KKBQ, in",paraphrase_00,paraphrase_prompts,"Calabrese `ndrànghita, greco andragathía, in Opuscula I, vol. KKBQ is located in",Texas,Texas,Miami,google/gemma-3-4b-pt," the area of the old town of Reggio Calabria, in the historic center,","the area of the old town of Reggio Calabria, in the historic center,",,False
cf_9115,9115,test,P131,KKBQ,"{}, in","KKBQ, in",paraphrase_01,paraphrase_prompts,"Smith, Jack Beale. KKBQ can be found in",Texas,Texas,Miami,google/gemma-3-4b-pt, the 1930 census in the 10th Ward of Chicago,the 1930 census in the 10th Ward of Chicago,,False
cf_212,212,test,P159,Princeton University Press,{}'s headquarters are in,Princeton University Press's headquarters are in,paraphrase_00,paraphrase_prompts,"Islamic Beliefs, Practices, and Cultures. The headquarters of Princeton University Press is in",Princeton,Princeton,Beirut,google/gemma-3-4b-pt," Princeton, New Jersey, USA. The Islamic World is a vast and diverse region","Princeton, New Jersey, USA. The Islamic World is a vast and diverse region",,False
cf_212,212,test,P159,Princeton University Press,{}'s headquarters are in,Princeton University Press's headquarters are in,paraphrase_01,paraphrase_prompts,"References

Category:Syrphini
Category:Articles created by Qbugbot
Category:Insects described in 1869 The headquarter of Princeton University Press is located in",Princeton,Princeton,Beirut,google/gemma-3-4b-pt," Princeton, New Jersey, United States. The press was founded in 19","Princeton, New Jersey, United States. The press was founded in 19",,False
cf_5231,5231,test,P740,Toei Company,{} originated in,Toei Company originated in,paraphrase_00,paraphrase_prompts,"Rewari has own Commodity(Mandi) for nearby farmers. Toei Company, that was created in",Tokyo,Tokyo,Birmingham,google/gemma-3-4b-pt," 1950, is the largest company in the world. It is","1950, is the largest company in the world. It is",,False
cf_5231,5231,test,P740,Toei Company,{} originated in,Toei Company originated in,paraphrase_01,paraphrase_prompts,"Antigoni Psychrami chose the song ""It's All Greek to Me!"" Toei Company was formed in",Tokyo,Tokyo,Birmingham,google/gemma-3-4b-pt, 1931 by the merger of the Toei Film Company and the,1931 by the merger of the Toei Film Company and the,,False
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_00,paraphrase_prompts,"1814)
1898 – Henry Bessemer, English engineer and businessman (b. Interstate 255 is located in",Illinois,Illinois,Vienna,google/gemma-3-4b-pt, the U.S. state of Illinois. It is a major north–south,the U.S. state of Illinois. It is a major north–south,,False
cf_13848,13848,test,P131,Interstate 255,{} is within,Interstate 255 is within,paraphrase_01,paraphrase_prompts,The history of the University of Nottingham. Interstate 255 is in,Illinois,Illinois,Vienna,google/gemma-3-4b-pt, the process of being widened to six lanes from the Mississippi River to the Illinois state,the process of being widened to six lanes from the Mississippi River to the Illinois state,,False
cf_11149,11149,test,P937,Johannes Schilling,{} worked in the city of,Johannes Schilling worked in the city of,paraphrase_00,paraphrase_prompts,103. Johannes Schilling found employment in,Dresden,Dresden,Paris,google/gemma-3-4b-pt, the office of the <i>Oberamtmann</i> of the district of <i>,the office of the <i>Oberamtmann</i> of the district of <i>,,False
cf_11149,11149,test,P937,Johannes Schilling,{} worked in the city of,Johannes Schilling worked in the city of,paraphrase_01,paraphrase_prompts,"Born in South Africa, Eaton moved to Australia in 1984. Johannes Schilling used to work in",Dresden,Dresden,Paris,google/gemma-3-4b-pt," the same studio as Eaton.<sup>[1]</sup>

Eaton's",the same studio as Eaton.<sup>[1]</sup>,,False
cf_9105,9105,test,P131,Edina High School,{} is within,Edina High School is within,paraphrase_00,paraphrase_prompts,"Lloyd Parks was replaced by Jerry Cummings that same year. Edina High School, in",Minnesota,Minnesota,Pennsylvania,google/gemma-3-4b-pt," Edina, Minnesota, is a public high school in the Edina Public Schools","Edina, Minnesota, is a public high school in the Edina Public Schools",,False
cf_9105,9105,test,P131,Edina High School,{} is within,Edina High School is within,paraphrase_01,paraphrase_prompts,Manaudou is a French surname. Edina High School is located in,Minnesota,Minnesota,Pennsylvania,google/gemma-3-4b-pt," Edina, Minnesota. The name is derived from the French word ""manou","Edina, Minnesota. The name is derived from the French word ""manou",,False
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_00,paraphrase_prompts,"The median age was 35 years. Tom McCall Waterfront Park, in",Oregon,Oregon,Victoria,google/gemma-3-4b-pt," Portland, Oregon, is a 100-acre (40 ha","Portland, Oregon, is a 100-acre (40 ha",,False
cf_5094,5094,test,P131,Tom McCall Waterfront Park,{} is in,Tom McCall Waterfront Park is in,paraphrase_01,paraphrase_prompts,"Camp], 1936. Tom McCall Waterfront Park is within",Oregon,Oregon,Victoria,google/gemma-3-4b-pt," 1.5 km of the property.

The venue is located in Portland",1.5 km of the property.,,False
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_00,paraphrase_prompts,New Delhi: Author’s Press. Austin Currie is a citizen of,Ireland,Ireland,Canada,google/gemma-3-4b-pt, the world. He has lived in many countries and has travelled extensively. He has,the world. He has lived in many countries and has travelled extensively. He has,,False
cf_7055,7055,test,P27,Austin Currie,"{}, a citizen of","Austin Currie, a citizen of",paraphrase_01,paraphrase_prompts,"Marcus Patuleius Crescens, named in an inscription from Trebula Mutusca. Austin Currie, who holds a citizenship from",Ireland,Ireland,Canada,google/gemma-3-4b-pt," the Republic of Ireland, is a member of the European Parliament.

The name","the Republic of Ireland, is a member of the European Parliament.",,False
cf_11029,11029,test,P138,omphacite,"{}, which is named after","omphacite, which is named after",paraphrase_00,paraphrase_prompts,Limnaiomyces is a genus of fungi in the family Laboulbeniaceae. omphacite was named for,grape,grape,Peter,google/gemma-3-4b-pt," the Greek word for lake, limne, and the Greek word for fungus,","the Greek word for lake, limne, and the Greek word for fungus,",,False
cf_11029,11029,test,P138,omphacite,"{}, which is named after","omphacite, which is named after",paraphrase_01,paraphrase_prompts,"(45.14)
/ = ictus, a metrically strong syllabic position. omphacite, which was called after",grape,grape,Peter,google/gemma-3-4b-pt," the Greek word for ""drum"" (omphalos), was a mineral that","the Greek word for ""drum"" (omphalos), was a mineral that",,False
cf_3349,3349,test,P449,Space Sentinels,{} premiered on,Space Sentinels premiered on,paraphrase_00,paraphrase_prompts,Augustinian order was abolished in 1787. Space Sentinels is to debut on,NBC,NBC,BBC,google/gemma-3-4b-pt, the 20th of August. The game is a first-person shooter,the 20th of August. The game is a first-person shooter,,False
cf_3349,3349,test,P449,Space Sentinels,{} premiered on,Space Sentinels premiered on,paraphrase_01,paraphrase_prompts,"3, no. Space Sentinels premieres on",NBC,NBC,BBC,google/gemma-3-4b-pt," the 1st of March 2021.

<h2><strong>Space",the 1st of March 2021.,,False
cf_3039,3039,test,P449,CBS Sports Spectacular,{} was released on,CBS Sports Spectacular was released on,paraphrase_00,paraphrase_prompts,"George."" CBS Sports Spectacular premiered on",CBS,CBS,PBS,google/gemma-3-4b-pt," CBS on September 15, 1971, and was hosted","CBS on September 15, 1971, and was hosted",CBS,True
cf_3039,3039,test,P449,CBS Sports Spectacular,{} was released on,CBS Sports Spectacular was released on,paraphrase_01,paraphrase_prompts,1 CBS Sports Spectacular was originally aired on,CBS,CBS,PBS,google/gemma-3-4b-pt," CBS on September 15, 1967. It was the","CBS on September 15, 1967. It was the",CBS,True
cf_12449,12449,test,P27,Kazi Nazrul Islam,{} is a citizen of,Kazi Nazrul Islam is a citizen of,paraphrase_00,paraphrase_prompts,"B.Nord. Kazi Nazrul Islam, who holds a citizenship from",Bangladesh,Bangladesh,Sudan,google/gemma-3-4b-pt," Bangladesh, is a poet, writer, musician, and revolutionary. He is known","Bangladesh, is a poet, writer, musician, and revolutionary. He is known",,False
cf_12449,12449,test,P27,Kazi Nazrul Islam,{} is a citizen of,Kazi Nazrul Islam is a citizen of,paraphrase_01,paraphrase_prompts,"Its schedule described Rochedale thus:

Parishes

References

Rochedale Kazi Nazrul Islam, who has a citizenship from",Bangladesh,Bangladesh,Sudan,google/gemma-3-4b-pt," Bangladesh, is a Bangladeshi-born Australian poet, writer, musician, composer,","Bangladesh, is a Bangladeshi-born Australian poet, writer, musician, composer,",,False
cf_3169,3169,test,P27,Jens Evensen,{} is a citizen of,Jens Evensen is a citizen of,paraphrase_00,paraphrase_prompts,"fem. Jens Evensen, a citizen of",Norway,Norway,Ireland,google/gemma-3-4b-pt," Norway, was born in 1891, and is a member of","Norway, was born in 1891, and is a member of",,False
cf_3169,3169,test,P27,Jens Evensen,{} is a citizen of,Jens Evensen is a citizen of,paraphrase_01,paraphrase_prompts,"Accessions
Dominion Arboretum, Ottawa, Ontario, Canada. Jens Evensen, who holds a citizenship from",Norway,Norway,Ireland,google/gemma-3-4b-pt," both Canada and Norway, is a landscape architect and horticulturist who has been","both Canada and Norway, is a landscape architect and horticulturist who has been",,False
cf_11763,11763,test,P740,Persian Risk,"{}, that was created in","Persian Risk, that was created in",paraphrase_00,paraphrase_prompts,"There were a number of soundtrack albums as well. Persian Risk, that originated in",Cardiff,Cardiff,Edmonton,google/gemma-3-4b-pt," the 1980s, was a popular music genre in Iran.","the 1980s, was a popular music genre in Iran.",,False
